A000015,A000057,A000084,A000131,A000156,A000162,A000176,A000239,A000240,A000250,A000277,A000300,A000338,A000354,B000009,B000012,B000019,B000082,B000113,B000126,B000217,B000274,B000290,B000307,B000312,B000442,B000505,B000545,B000549,B000565,B000588,B000596,B000598,B000601,B000606,B000704,B000726,B000766,B000767,B000826,B000847,B000959,B000978,B000981,B001006,B001020,B001056,B001069,B001075,B001146,B001163,B001187,B001217,C000007,C000081,C000084,C000114,C000117,C000140,C000149,C000195,C000203,C000207,C000214,C000240,C000262,C000264,C000317,C000328,C000338,C000361,C000364,C000378,C000384,C000401,C000412,C000439,C000465,C000565,C000566,C000608,C000616,C000630,C000642,C000652,C000673,C000694,C000698,C000730,C000755,C000757,C000785,C000831,C000844,C000864,C000909,C000931,C000932,C000940,C000948,C000955,C000968,C000970,C001001,D000012,D000063,D000070,D000098,D000129,D000212,D000263,D000265,D000316,D000335,D000338,D000339,D000362,D000408,D000448,D000455,D000459,D000460,D000468,D000480,D000486,D000496,D000503,D000591,E000003,E000023,E000027,E000152,E000182,E000203,E000216,E000217,E000221,E000247,E000261,F000086,F000114,F000130,F000142,F000143,F000175,F000191,F000211,F000294,F000355,F000359,F000366,F000375,F000400,F000408,F000417,G000035,G000046,G000074,G000081,G000092,G000101,G000158,G000169,G000177,G000181,G000193,G000243,G000259,G000265,G000299,G000334,G000370,G000372,G000415,G000437,G000448,G000457,G000483,G000538,H000008,H000026,H000053,H000069,H000071,H000146,H000147,H000195,H000200,H000209,H000290,H000298,H000333,H000350,H000379,H000550,H000598,H000607,H000669,H000702,H000704,H000708,H000728,H000741,H000764,H000768,H000772,H000792,H000793,H000826,H000836,H000903,H000944,H000946,I000003,J000038,J000053,J000068,J000088,J000114,J000150,J000159,J000171,J000173,J000181,J000236,K000001,K000002,K000010,K000056,K000071,K000076,K000085,K000097,K000101,K000111,K000138,K000151,K000231,K000257,K000283,K000301,K000314,K000342,K000344,K000350,L000007,L000037,L000038,L000040,L000076,L000080,L000082,L000100,L000103,L000163,L000184,L000209,L000222,L000277,L000300,L000325,L000340,L000409,L000435,L000467,L000489,L000498,L000501,M000001,M000055,M000073,M000091,M000098,M000112,M000119,M000173,M000191,M000272,M000338,M000339,M000364,M000427,M000434,M000463,M000511,M000539,M000557,M000572,M000598,M000604,M000615,M000693,M000709,M000738,M000766,M000823,M000835,M000861,M000862,M000887,M000894,M000905,M000939,M001049,M001089,N000038,N000039,N000046,N000105,N000128,N000152,N000153,O000030,O000072,O000077,O000146,O000154,P000046,P000056,P000062,P000075,P000086,P000090,P000103,P000125,P000174,P000237,P000247,P000268,P000371,P000408,P000474,P000495,P000499,P000505,P000573,Q000014,R000009,R000014,R000031,R000032,R000056,R000061,R000082,R000113,R000145,R000155,R000209,R000352,R000392,R000408,R000418,R000496,R000549,S000001,S000032,S000037,S000043,S000111,S000137,S000144,S000228,S000229,S000236,S000280,S000287,S000381,S000387,S000419,S000442,S000452,S000511,S000554,S000580,S000652,S000659,S000676,S000703,S000717,S000777,S000783,S000820,S000895,S000919,S000946,S001011,S001015,S001042,S001051,S001059,S001067,S001072,S001086,S001089,S001093,S001102,S001114,S001123,T000001,T000045,T000072,T000083,T000119,T000142,T000189,T000257,T000267,T000279,T000281,T000283,T000358,T000399,T000433,U000006,U000012,V000092,V000105,V000106,W000166,W000185,W000201,W000230,W000244,W000265,W000289,W000301,W000397,W000420,W000430,W000450,W000494,W000501,W000553,W000608,W000634,W000663,W000668,W000678,W000683,W000699,W000706,W000718,W000720,W000773,W000776,Y000011,Y000021,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931-12-07,0,,unknown,,,,,unknown
Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,Nay,Nay,,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,1931-12-08,0,,unknown,hr5,,,,unknown
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1931-12-08,0,,unknown,hr5,,,,unknown
Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,1931-12-18,0,,unknown,hjres147,,,,unknown
Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,,Nay,Not Voting,,Nay,Nay,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,,Nay,Yea,,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,1931-12-19,0,,unknown,hr6172,,,,unknown
Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Present,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,,Nay,Nay,,Nay,Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,1932-01-06,0,,unknown,hr6660,,,,unknown
Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,,Nay,Not Voting,,Nay,Nay,Yea,,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,1932-01-08,0,,unknown,hr87,,,,unknown
