A000015,A000021,A000057,A000084,A000131,A000156,A000162,A000239,A000240,A000277,A000300,A000321,A000338,A000354,B000009,B000012,B000019,B000054,B000113,B000126,B000290,B000307,B000312,B000348,B000505,B000509,B000545,B000549,B000565,B000596,B000606,B000704,B000710,B000726,B000766,B000767,B000826,B000832,B000847,B000955,B000959,B000978,B000981,B001006,B001020,B001075,B001146,B001163,B001187,B001217,C000007,C000081,C000084,C000114,C000117,C000142,C000149,C000195,C000203,C000207,C000264,C000274,C000328,C000361,C000364,C000378,C000384,C000401,C000412,C000439,C000446,C000465,C000565,C000566,C000608,C000630,C000642,C000652,C000673,C000694,C000698,C000730,C000752,C000755,C000757,C000785,C000831,C000844,C000849,C000864,C000870,C000909,C000931,C000932,C000948,C000968,C000970,C001000,D000012,D000063,D000070,D000098,D000229,D000237,D000263,D000265,D000323,D000335,D000408,D000440,D000448,D000455,D000459,D000460,D000468,D000480,D000483,D000486,D000496,D000503,D000525,D000591,E000023,E000027,E000062,E000127,E000133,E000182,E000203,E000216,E000221,E000222,E000247,E000261,F000072,F000130,F000142,F000149,F000166,F000175,F000287,F000294,F000355,F000359,F000366,F000375,F000408,F000417,G000035,G000045,G000046,G000074,G000081,G000092,G000101,G000158,G000169,G000243,G000246,G000259,G000265,G000299,G000334,G000354,G000372,G000415,G000437,G000448,G000456,G000457,G000538,H000008,H000030,H000042,H000053,H000069,H000071,H000091,H000123,H000146,H000147,H000195,H000200,H000298,H000333,H000350,H000379,H000550,H000560,H000598,H000607,H000669,H000685,H000702,H000704,H000708,H000764,H000768,H000772,H000826,H000836,H000903,H000908,H000910,H000924,H000940,H000943,H000944,H000946,I000003,I000040,J000050,J000053,J000068,J000088,J000114,J000130,J000150,J000159,J000165,J000173,J000181,J000197,J000205,J000236,K000001,K000002,K000024,K000033,K000076,K000085,K000091,K000097,K000111,K000138,K000151,K000167,K000168,K000187,K000231,K000301,K000314,K000317,K000342,K000344,K000349,K000350,L000007,L000037,L000041,L000073,L000076,L000080,L000082,L000103,L000163,L000181,L000184,L000203,L000209,L000222,L000258,L000325,L000340,L000433,L000435,L000489,L000498,L000501,M000001,M000055,M000098,M000112,M000119,M000191,M000338,M000339,M000341,M000364,M000372,M000427,M000434,M000511,M000539,M000557,M000572,M000598,M000604,M000615,M000640,M000663,M000690,M000693,M000739,M000766,M000861,M000862,M000887,M000894,M000905,M000915,M000939,M000959,M001049,M001089,N000038,N000039,N000046,N000067,N000079,N000105,N000128,N000153,O000022,O000023,O000027,O000028,O000030,O000061,O000072,O000077,O000154,P000043,P000046,P000062,P000075,P000086,P000103,P000125,P000174,P000237,P000371,P000447,P000474,P000495,P000499,P000505,P000544,P000573,Q000008,Q000014,R000009,R000014,R000021,R000031,R000032,R000056,R000061,R000082,R000108,R000113,R000145,R000155,R000209,R000352,R000358,R000392,R000418,R000474,R000549,S000001,S000032,S000037,S000043,S000111,S000137,S000212,S000228,S000229,S000236,S000278,S000377,S000381,S000387,S000419,S000420,S000442,S000452,S000491,S000511,S000580,S000652,S000659,S000676,S000703,S000707,S000708,S000758,S000759,S000777,S000783,S000820,S000827,S000835,S000895,S000931,S000964,S001011,S001015,S001051,S001059,S001067,S001072,S001093,S001114,S001123,T000001,T000045,T000072,T000083,T000119,T000142,T000194,T000257,T000279,T000281,T000283,T000358,T000399,T000433,U000006,U000012,V000092,V000101,V000105,W000023,W000063,W000166,W000185,W000196,W000201,W000265,W000289,W000396,W000400,W000420,W000430,W000450,W000501,W000542,W000553,W000608,W000634,W000635,W000678,W000683,W000684,W000706,W000718,W000720,W000773,W000775,W000776,Y000011,Y000021,Z000007,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,,Nay,Not Voting,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,,Nay,Yea,Yea,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,1930-12-12,0,,unknown,hr14675,,,,unknown
Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Yea,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,,Yea,Not Voting,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Nay,,Yea,Nay,Nay,,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,1930-12-15,0,,unknown,sjres211,,,,unknown
Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,,,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,,Yea,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,,,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,1930-12-18,0,,unknown,sjres211,,,,unknown
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1930-12-18,0,,unknown,sjres211,,,,unknown
Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Nay,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,1931-01-13,0,,unknown,hres334,,,,unknown
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,,Present,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1931-01-13,0,,unknown,hres334,,,,unknown
