A000322,B000022,B000096,B000168,B000340,B000398,B000413,B000642,B000734,B000835,B001173,C000044,C000233,C000332,C000466,C000482,C000501,C000753,C000791,D000113,D000117,D000156,D000166,D000317,D000394,D000396,D000457,D000476,E000158,E000281,F000063,F000174,F000251,F000374,G000424,G000540,H000034,H000121,H000827,H000988,J000221,K000217,M000096,M000216,M000731,M001015,N000140,P000161,P000299,P000506,R000063,R000184,R000518,S000216,S000261,S000362,S000621,S000682,S000760,S000905,S001046,T000430,U000011,U000025,W000043,W000055,W000238,W000349,W000646,Y000061,date,isAmendment,requires,result,title
Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,1851-01-21,0,,unknown,
Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,1851-01-22,0,,unknown,
Nay,Yea,Yea,,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,,Not Voting,Nay,Yea,Yea,Yea,Not Voting,,Nay,Yea,Nay,1851-01-22,0,,unknown,s101
Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,1851-01-22,0,,unknown,s101
Nay,Yea,Yea,,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Not Voting,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,1851-01-23,0,,unknown,s101
Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,1851-01-23,0,,unknown,s101
Nay,Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Nay,,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Nay,1851-01-24,0,,unknown,s393
Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,,Nay,Yea,Not Voting,Yea,,Yea,Yea,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,1851-01-24,0,,unknown,s393
Not Voting,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,,Nay,,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Nay,Yea,,Not Voting,Nay,Yea,Nay,Yea,Not Voting,,Nay,Yea,Nay,1851-01-25,0,,unknown,
Not Voting,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,,,Not Voting,,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Nay,,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Yea,1851-01-27,0,,unknown,
Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Not Voting,1851-01-25,0,,unknown,s410
Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,,Yea,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,,Yea,,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Nay,,Not Voting,Yea,Nay,,Yea,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Not Voting,1851-01-27,0,,unknown,s278
Nay,Nay,Nay,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,,Nay,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,,Yea,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Not Voting,1851-01-28,0,,unknown,s346
Nay,Nay,Yea,,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Nay,Not Voting,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,,,Yea,,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Yea,Not Voting,1851-01-29,0,,unknown,s346
Not Voting,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,,Not Voting,,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Nay,1851-01-31,0,,unknown,
Not Voting,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,,,Nay,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,,Yea,Nay,Not Voting,Yea,,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,1851-01-31,0,,unknown,s346
Not Voting,Nay,Nay,,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,,,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Not Voting,Not Voting,Nay,,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,1851-01-31,0,,unknown,s346
Not Voting,Nay,Yea,,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,,,Not Voting,,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,,Nay,Yea,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Not Voting,1851-01-31,0,,unknown,s346
Not Voting,Not Voting,Yea,,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,,,Not Voting,,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,Not Voting,1851-01-31,0,,unknown,s346
Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,,,Yea,,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,,Nay,Yea,Nay,,Not Voting,Nay,Nay,Nay,Nay,Yea,,Not Voting,,Not Voting,1851-02-06,0,,unknown,s364
Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,,,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Yea,,Nay,Yea,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,,Not Voting,1851-02-06,0,,unknown,s346
Not Voting,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,,,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,,Nay,,Nay,1851-02-07,0,,unknown,
Not Voting,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,,,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Not Voting,Not Voting,,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Yea,Yea,Nay,,Not Voting,,Yea,1851-02-07,0,,unknown,
Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,,,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,,Nay,1851-02-08,0,,unknown,s324
Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,,,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,,Yea,1851-02-08,0,,unknown,s324
Not Voting,Nay,Nay,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,,,Yea,,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,,Yea,Yea,Nay,Nay,Nay,Yea,,Not Voting,,Yea,1851-02-10,0,,unknown,s456
Not Voting,Nay,Yea,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,,Not Voting,Yea,Yea,Nay,Not Voting,Nay,,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,,,Yea,,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Yea,,Nay,Not Voting,Yea,,Nay,Yea,Yea,Not Voting,Nay,Yea,,Yea,,Yea,1851-02-10,0,,unknown,hr433
Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Not Voting,Nay,Yea,Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,,,Not Voting,,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,Yea,Nay,,Nay,,Nay,1851-02-10,0,,unknown,hr433
Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,,,Yea,,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Nay,Not Voting,Nay,,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,Nay,Yea,,Yea,,Yea,1851-02-11,0,,unknown,s349
Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,,,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,,Not Voting,,Nay,1851-02-12,0,,unknown,s349
Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Nay,Nay,Not Voting,Nay,,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,,,Yea,,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,Nay,Yea,Not Voting,Nay,,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,,Not Voting,,Yea,1851-02-12,0,,unknown,sjres49
Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Yea,,Not Voting,Nay,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,,,Nay,,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,,Yea,Nay,Not Voting,Yea,,Yea,Not Voting,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Not Voting,1851-02-13,0,,unknown,sjres49
Not Voting,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,,Nay,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,,Not Voting,,Nay,1851-02-13,0,,unknown,sjres49
Nay,Yea,Nay,,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,,Nay,,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,,Nay,1851-02-14,0,,unknown,
Yea,Nay,Yea,,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,,,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,,Yea,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,,Yea,1851-02-14,0,,unknown,
Yea,Nay,Nay,,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,,Yea,,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,,Nay,Yea,Nay,,Nay,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,,Yea,1851-02-14,0,,unknown,s364
Nay,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Nay,,Not Voting,1851-02-15,0,,unknown,hr85
Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Yea,,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,,Not Voting,1851-02-17,0,,unknown,
Yea,Yea,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,,,Yea,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,Not Voting,Yea,,Nay,,Nay,1851-02-18,0,,unknown,hr351
Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,,,Nay,,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,,Nay,,Nay,1851-02-18,0,,unknown,hr351
Yea,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,,Yea,1851-02-19,0,,unknown,
Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Not Voting,Nay,Not Voting,,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,,,Nay,,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,,Yea,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,1851-02-19,0,,unknown,s394
Nay,Nay,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,,Nay,Not Voting,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,,Nay,1851-02-19,0,,unknown,hr351
Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,,,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,,Not Voting,,Nay,1851-02-20,0,,unknown,s375
Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,,Nay,Yea,Nay,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,,,Nay,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,Yea,Not Voting,Nay,Nay,Yea,,Nay,,Yea,1851-02-20,0,,unknown,hr351
Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,,,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,,Not Voting,Nay,Nay,Nay,,Yea,Not Voting,Yea,,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,,Nay,1851-02-21,0,,unknown,s375
