A000010,A000062,A000186,B000176,B000271,B000384,B000709,B000820,B000823,B000913,B001099,B001167,B001177,B001180,B001208,C000128,C000154,C000221,C000338,C000506,C000758,C000774,C000802,C000906,D000031,D000036,D000360,D000456,D000516,D000585,E000018,E000112,E000211,F000081,F000190,F000356,F000401,G000131,G000205,G000267,G000320,G000418,G000481,H000385,H000495,H000502,H000559,H000598,H000679,H000720,H000875,H000953,H000975,I000050,J000013,J000093,J000127,J000160,J000195,K000044,K000107,K000144,K000176,K000292,K000335,L000070,L000224,L000240,L000428,M000053,M000086,M000113,M000177,M000279,M000308,M000315,M000332,M000771,M000859,M001014,M001078,M001108,N000023,O000088,P000100,P000150,P000460,P000575,R000180,R000317,R000536,S000021,S000138,S000187,S000505,S000553,S000590,S000639,S000701,S000852,S001136,T000009,T000259,T000289,U000032,W000190,W000269,W000465,W000518,Y000047,date,isAmendment,requires,result,title
,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,,,,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Present,Nay,Yea,Yea,Nay,Nay,Present,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Nay,1953-04-27,0,,unknown,sjres13
,Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,Nay,,,,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Present,Nay,Yea,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Nay,Nay,Present,Not Voting,Present,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,Nay,Present,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,1953-04-28,0,,unknown,sjres13
,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,,,Nay,Not Voting,Nay,Present,Nay,Nay,Nay,Present,Nay,Nay,Nay,,,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Present,Yea,Nay,Nay,Yea,Yea,Present,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,Nay,Present,Nay,Nay,Yea,,Not Voting,Nay,Not Voting,Nay,Nay,1953-04-30,0,,unknown,sjres13
,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,,,Nay,Not Voting,Nay,Present,Present,Nay,Yea,Present,Nay,Yea,Nay,,,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Present,Nay,Yea,Yea,Present,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Present,Yea,Nay,Nay,Not Voting,Not Voting,Present,Not Voting,Nay,Nay,Yea,Yea,Present,Nay,Not Voting,Nay,Yea,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,,Present,Present,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,1953-04-30,0,,unknown,sjres13
,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Present,Not Voting,Yea,Yea,Nay,Yea,Nay,,,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Not Voting,Nay,Yea,Yea,Present,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Not Voting,1953-05-05,0,,unknown,sjres13
,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Present,Not Voting,Nay,Yea,Nay,Yea,Nay,,,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Not Voting,Nay,Yea,Yea,Present,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,1953-05-05,0,,unknown,sjres13
,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Present,Not Voting,Nay,Yea,Nay,Nay,Nay,,,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Nay,Nay,Yea,Yea,Present,Nay,Yea,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,1953-05-05,0,,unknown,sjres13
,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Present,Not Voting,Nay,Yea,Nay,Yea,Nay,,,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Present,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Nay,Nay,Yea,Yea,Present,Nay,Yea,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,1953-05-05,0,,unknown,sjres13
,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Present,Nay,Yea,Yea,Nay,Nay,Present,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,1953-05-05,0,,unknown,sjres13
,Present,Yea,Nay,Nay,Nay,,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,,,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Present,Yea,Nay,Yea,Present,Nay,Present,Nay,Present,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Not Voting,Nay,Yea,Present,Yea,Not Voting,Present,Present,Yea,Not Voting,Nay,Yea,Yea,Present,Yea,Yea,Yea,Yea,Present,Nay,Present,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Present,,Yea,Not Voting,Nay,Present,Yea,Yea,Yea,Nay,Nay,Present,,Nay,Yea,Present,Nay,Yea,1953-05-08,0,,unknown,hr4663
