A000062,A000161,A000186,B000176,B000271,B000384,B000436,B000536,B000820,B000823,B001167,B001180,B001208,C000128,C000154,C000189,C000220,C000221,C000338,C000388,C000444,C000758,C000802,C001006,D000036,D000360,D000456,D000585,E000018,E000112,E000211,F000190,F000356,F000401,G000267,G000320,G000418,H000385,H000502,H000559,H000598,H000665,H000720,H000875,H000953,I000050,J000013,J000064,J000093,J000160,J000195,J000267,K000044,K000107,K000144,K000292,K000335,L000070,L000122,L000428,M000053,M000086,M000113,M000177,M000199,M000315,M000332,M000582,M000859,M001014,M001022,M001078,M001108,N000023,N000053,O000088,P000100,P000150,P000460,P000553,P000575,R000167,R000317,R000536,S000021,S000138,S000187,S000505,S000553,S000590,S000701,S000852,S001136,T000035,T000254,T000259,W000190,W000465,W000518,Y000006,Y000047,date,isAmendment,requires,result,title
Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Present,Not Voting,Present,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Present,Nay,Nay,,Yea,Yea,Nay,Not Voting,Nay,Present,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,1957-03-19,0,,Rejected,s1451
Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Not Voting,Nay,Present,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Present,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,1957-03-21,0,,Rejected,s1451
Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Present,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,1957-03-21,0,,Rejected,s1451
Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,,Yea,Yea,Nay,Nay,Nay,Present,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,,Present,Yea,Nay,Nay,Nay,Present,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Present,Yea,Nay,Nay,Nay,Nay,,Nay,1957-03-27,0,,Rejected,hr4090
Yea,Nay,Nay,Yea,Present,Not Voting,Not Voting,Present,Yea,Yea,Nay,Present,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Present,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Present,Yea,Nay,Yea,Nay,Yea,,Nay,1957-03-28,0,,Rejected,s497
Yea,Not Voting,Yea,Present,Not Voting,Not Voting,Not Voting,Present,Nay,Nay,Yea,Present,Nay,Present,Present,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Present,Yea,Yea,Yea,Not Voting,Present,Not Voting,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Yea,Nay,Yea,Present,Nay,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Present,Yea,Nay,Yea,,Present,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Present,Nay,Yea,Nay,Yea,Nay,,Yea,1957-03-28,0,,Passed,s497
Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Present,Present,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Not Voting,Present,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Present,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Present,Yea,Yea,Yea,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,,Yea,1957-04-01,0,,unknown,
Nay,Yea,Nay,Yea,Nay,Present,Nay,Present,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Present,Nay,Nay,Present,Present,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,,Nay,Not Voting,Not Voting,Yea,Yea,Present,Present,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Nay,Yea,,Nay,1957-04-01,0,,unknown,s1314
Nay,Not Voting,Present,Yea,Nay,Nay,Nay,Present,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Present,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,Present,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Present,Yea,,Yea,Nay,Nay,Yea,Nay,Present,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,,Yea,1957-04-10,0,,Rejected,s1771
Yea,Yea,Not Voting,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Present,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Present,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1957-04-17,0,,Agreed To,hjres310
Nay,Nay,Present,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Present,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,,Not Voting,Yea,Nay,Nay,Nay,Present,Present,Not Voting,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,Nay,Nay,Present,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,1957-05-08,0,,Rejected,
Yea,Yea,Present,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Present,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Yea,Yea,Yea,Present,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Present,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,1957-05-09,0,,Confirmed,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1957-05-13,0,,Rejected,
Nay,Nay,Yea,Present,Present,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Present,Not Voting,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Not Voting,Yea,Yea,Present,Yea,Yea,,Yea,Yea,Present,Nay,Yea,Nay,Present,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,1957-05-15,0,,Adopted,hr6871
Yea,Yea,Yea,Present,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1957-05-15,0,,Passed,hr6871
Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Present,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Present,Nay,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Present,Present,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,Yea,Present,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Nay,Nay,Present,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,1957-05-20,0,,Adopted,hr7221
Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,,Yea,Present,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Present,Present,Nay,Nay,Not Voting,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Present,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Present,Yea,Nay,Nay,Nay,Nay,Present,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Yea,Yea,Present,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,1957-05-20,0,,Rejected,hr7221
Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Present,Present,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,Yea,Present,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,1957-05-20,0,,Passed,hr7221
Present,Nay,Present,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Present,Nay,Present,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Present,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Present,Nay,Yea,Present,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Present,Nay,Yea,Nay,1957-05-28,0,,Rejected,hr6659
Present,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Nay,Present,Yea,Present,Yea,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,Present,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Present,Present,Nay,Present,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,1957-05-28,0,,Accepted,hr6659
Present,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Present,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,1957-05-29,0,,unknown,hr6871
