A000317,B000127,B000192,B000434,B000921,C000083,C000325,C000671,D000002,D000024,F000389,G000005,G000264,G000322,H000176,H000186,H000225,H000795,H000865,H000991,K000212,L000011,M000034,M000213,M000217,M001003,N000118,R000313,R000500,S000052,S000628,S000949,T000015,T000017,T000085,T000102,T000220,T000264,T000382,T000423,V000074,W000287,W000516,W000595,date,isAmendment,requires,result,title
,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,,Nay,Yea,Yea,,,Nay,Nay,Not Voting,,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,1816-03-20,0,,unknown,
,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,,,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,,,Yea,Nay,Not Voting,,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,1816-03-20,0,,unknown,
,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,,,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,,,Yea,Nay,Not Voting,,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,1816-03-20,0,,unknown,
,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,,,Yea,Yea,Not Voting,,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,1816-03-20,0,,unknown,
,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,,,Yea,Nay,Nay,,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,1816-03-21,0,,unknown,
,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Nay,,,Yea,Yea,Nay,,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,1816-03-21,0,,unknown,
,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,,,Yea,Nay,Nay,,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,1816-03-21,0,,unknown,
,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,,Nay,Yea,Yea,,,Yea,Yea,Yea,,Yea,Not Voting,,Nay,Nay,Yea,Yea,Nay,1816-03-22,0,,unknown,
,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,,,Nay,Not Voting,Yea,,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,1816-03-26,0,,unknown,
,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,,,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,,Nay,Not Voting,Yea,,,Nay,Yea,Yea,,Yea,Not Voting,,Yea,Nay,Nay,Nay,Nay,1816-03-29,0,,unknown,
,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,,,Nay,Nay,Nay,,Yea,Yea,,Nay,Nay,Yea,Nay,Nay,1816-03-30,0,,unknown,
,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,,,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,,,Nay,Nay,Nay,,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,1816-04-01,0,,unknown,
,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,,,Nay,Nay,Nay,,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,1816-04-01,0,,unknown,
,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,,,Nay,Yea,Nay,,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,1816-04-02,0,,unknown,
,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Not Voting,Yea,,,Yea,Yea,Yea,,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,1816-04-02,0,,unknown,
,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,,Nay,Not Voting,Nay,,,Nay,Nay,Not Voting,,Not Voting,Nay,,Nay,Nay,Yea,Nay,Nay,1816-04-02,0,,unknown,
,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,,,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,,,Yea,Yea,Yea,,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,1816-04-02,0,,unknown,
,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,,Yea,Yea,Yea,,Not Voting,Nay,,Yea,Yea,Nay,Yea,Nay,1816-04-03,0,,unknown,
,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,,,Yea,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,1816-04-04,0,,unknown,
,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,,,Yea,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,1816-04-04,0,,unknown,
