A000097,A000114,A000138,A000145,A000179,A000184,A000196,A000216,A000239,A000250,A000257,A000290,A000306,A000339,B000102,B000113,B000139,B000158,B000191,B000211,B000232,B000237,B000274,B000296,B000332,B000356,B000515,B000545,B000565,B000588,B000601,B000604,B000606,B000607,B000621,B000640,B000725,B000742,B000743,B000816,B000884,B000909,B000940,B000999,B001017,B001023,B001024,B001056,B001069,B001079,B001084,B001122,B001206,B001214,B001218,C000038,C000070,C000115,C000117,C000154,C000195,C000207,C000221,C000225,C000264,C000296,C000317,C000365,C000390,C000439,C000473,C000489,C000515,C000535,C000565,C000582,C000584,C000616,C000617,C000642,C000645,C000693,C000736,C000755,C000772,C000795,C000810,C000831,C000886,C000887,C000889,C000898,C000932,C000940,C000948,C000968,C000970,C000985,C000995,C001006,D000007,D000014,D000050,D000063,D000094,D000212,D000228,D000265,D000335,D000338,D000354,D000360,D000362,D000363,D000411,D000448,D000453,D000468,D000480,D000496,D000536,D000551,D000571,D000585,E000023,E000026,E000029,E000041,E000051,E000119,E000132,E000160,E000178,E000182,E000253,F000001,F000051,F000075,F000082,F000086,F000142,F000175,F000183,F000191,F000192,F000240,F000258,F000264,F000267,F000385,F000417,G000031,G000080,G000087,G000098,G000101,G000111,G000118,G000135,G000147,G000155,G000156,G000169,G000181,G000207,G000265,G000303,G000320,G000338,G000360,G000381,G000384,G000415,G000447,G000469,G000484,G000493,G000538,G000543,H000050,H000060,H000081,H000146,H000200,H000217,H000231,H000284,H000294,H000295,H000298,H000356,H000375,H000423,H000454,H000492,H000502,H000550,H000600,H000640,H000663,H000683,H000741,H000757,H000768,H000798,H000824,H000943,H000983,I000052,J000039,J000058,J000060,J000075,J000088,J000090,J000096,J000100,J000111,J000117,J000132,J000150,J000159,J000160,J000165,J000236,J000249,J000264,K000029,K000039,K000041,K000044,K000056,K000071,K000101,K000111,K000112,K000130,K000138,K000170,K000171,K000231,K000244,K000248,K000257,K000301,K000303,K000321,K000341,L000037,L000052,L000076,L000100,L000157,L000163,L000185,L000238,L000251,L000279,L000291,L000439,L000498,L000501,L000537,M000001,M000016,M000053,M000065,M000091,M000112,M000119,M000122,M000159,M000186,M000187,M000191,M000199,M000224,M000231,M000272,M000296,M000297,M000364,M000422,M000446,M000454,M000460,M000510,M000538,M000545,M000557,M000565,M000568,M000572,M000598,M000661,M000693,M000764,M000775,M000778,M000805,M000855,M000859,M001026,M001040,M001051,M001078,M001081,M001082,M001112,M001127,N000046,N000092,N000137,N000153,O000014,O000029,O000033,O000065,O000074,O000089,O000120,O000133,O000149,P000002,P000086,P000103,P000105,P000142,P000165,P000260,P000261,P000285,P000338,P000339,P000371,P000395,P000398,P000408,P000488,R000001,R000032,R000046,R000056,R000082,R000108,R000111,R000113,R000132,R000209,R000214,R000269,R000317,R000341,R000358,R000362,R000373,R000392,R000405,R000418,R000470,R000546,R000555,S000001,S000008,S000031,S000067,S000069,S000110,S000111,S000126,S000144,S000145,S000162,S000196,S000218,S000219,S000228,S000277,S000285,S000287,S000335,S000342,S000377,S000436,S000452,S000523,S000536,S000554,S000572,S000580,S000590,S000591,S000620,S000668,S000676,S000683,S000701,S000717,S000755,S000816,S000820,S000823,S000845,S001051,S001071,S001072,S001086,S001102,S001108,T000001,T000028,T000045,T000072,T000083,T000124,T000133,T000153,T000156,T000175,T000189,T000236,T000263,T000283,T000295,T000358,T000417,V000069,V000100,V000105,V000118,V000119,V000121,W000012,W000088,W000108,W000130,W000166,W000222,W000230,W000265,W000304,W000327,W000343,W000361,W000364,W000430,W000450,W000494,W000500,W000645,W000668,W000678,W000683,W000702,W000718,W000720,Y000059,Z000009,date,isAmendment,requires,result,title
Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Present,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,,,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Present,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Nay,,Yea,Yea,,Nay,Not Voting,,Yea,Yea,Not Voting,Yea,Present,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Present,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Yea,Yea,Yea,Present,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,,Nay,Yea,Yea,Yea,,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Present,Nay,Present,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,,Yea,Not Voting,Present,Nay,Not Voting,Nay,,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Present,Yea,Yea,Nay,Nay,,,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Present,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Present,Nay,,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Present,Yea,Nay,Yea,Nay,1940-01-08,0,,unknown,hres103
Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Present,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,,,Nay,Nay,Present,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Present,Yea,Nay,Nay,Nay,Nay,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Present,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Present,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,,Nay,Not Voting,,Yea,Present,Not Voting,Yea,Present,Yea,Yea,Nay,Yea,Present,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Yea,Present,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,,Nay,Yea,Yea,Present,,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Nay,Present,Yea,Yea,Yea,Present,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Present,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Present,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,Present,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Not Voting,Present,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Present,Present,Nay,Yea,Nay,1940-01-10,0,,unknown,hr801
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,,Yea,Yea,,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Nay,Present,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Present,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Present,Yea,Yea,Yea,,Yea,Yea,,Yea,Present,Present,Yea,Yea,Yea,,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Present,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Present,Yea,Yea,Yea,Present,,Yea,Yea,Yea,Present,,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Present,1940-01-23,0,,unknown,hres321
Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Present,,Not Voting,Yea,,Nay,Nay,Present,Yea,Yea,Nay,Present,Nay,Present,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,,,,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Present,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Present,,Present,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Present,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Present,Nay,Present,,Nay,Yea,Nay,Present,Yea,Yea,Yea,Nay,Present,,Not Voting,Nay,,Nay,Not Voting,,Nay,Nay,Nay,Present,Present,Nay,Yea,Present,Yea,Yea,Nay,Yea,Yea,Present,Present,Nay,Nay,Nay,Not Voting,Yea,,Nay,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Present,Yea,Nay,Present,Yea,Present,Nay,Nay,Nay,Not Voting,Nay,Yea,Present,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Present,Yea,Present,,Yea,Yea,Yea,Yea,,,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,,Nay,Nay,Yea,Present,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Present,Present,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Present,Nay,Nay,Yea,Nay,Not Voting,,Yea,Nay,Yea,Yea,Nay,Present,Present,Present,Present,Present,Not Voting,,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Present,Present,Yea,Present,Nay,Not Voting,Nay,Yea,Nay,,Yea,Yea,,Yea,Nay,Present,Nay,Nay,Nay,,Nay,Yea,,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Not Voting,Nay,Nay,,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Present,Yea,Nay,Nay,Present,Nay,Nay,Yea,Present,Nay,Not Voting,Yea,Nay,Yea,Nay,,Present,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Present,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Present,Yea,Yea,Nay,Present,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Present,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Present,Present,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Present,Nay,Nay,,Present,Present,Nay,Present,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Present,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Present,,Present,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,,Yea,Present,Nay,Yea,Nay,Present,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Present,Present,Yea,Nay,Yea,Present,1940-01-24,0,,unknown,hr5118
Present,Present,Yea,Nay,Yea,Present,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,,Not Voting,Nay,Nay,Present,Yea,Nay,Present,Nay,Present,Yea,Yea,Nay,Present,Present,Present,Nay,,,,Present,Present,Present,Present,Yea,Nay,Present,Nay,Nay,Present,Present,Present,Present,Nay,Nay,Nay,,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Yea,Present,Nay,Present,Present,,Present,Yea,Nay,Present,Yea,Nay,Present,Present,Yea,Yea,Nay,Nay,Yea,Yea,Present,Nay,Nay,Nay,Present,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,,Nay,Nay,,Nay,Present,,Nay,Nay,Present,Present,Present,Nay,Yea,Nay,Yea,Yea,Nay,Present,Present,Yea,Present,Nay,Nay,Nay,Yea,Nay,,Nay,,Nay,Present,Nay,Yea,Yea,Present,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Present,Present,Yea,Present,Nay,Nay,Present,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Present,,Nay,Yea,Present,Yea,,,Nay,Nay,Yea,Nay,Present,Present,Nay,Present,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Present,Yea,Nay,Nay,Nay,Nay,Present,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Present,Yea,Yea,Present,,Yea,Nay,Yea,Nay,Present,Present,Nay,Present,Present,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Not Voting,Present,Nay,Nay,Present,Nay,Present,Nay,Yea,Yea,,Yea,Nay,,Nay,Present,Present,Nay,Nay,Present,,Not Voting,Yea,,Nay,Present,Yea,Yea,Nay,Yea,Nay,Present,Nay,Yea,Nay,Present,,Nay,Present,Not Voting,Yea,Nay,Nay,,,Present,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Present,Nay,Nay,Present,Yea,Present,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Present,,Present,Present,Present,Nay,Nay,Yea,Nay,Present,Present,,Nay,Present,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Present,Present,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Present,Nay,Yea,Nay,Present,Nay,Nay,Yea,Nay,Present,Present,Nay,Yea,Nay,Present,Yea,Present,Nay,Nay,Present,Present,Yea,,Present,Yea,Present,Nay,Nay,,Nay,Nay,Nay,Present,Nay,Nay,Present,Yea,Nay,Present,Present,Nay,Present,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Present,,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Present,Nay,,Nay,Nay,Nay,Yea,Nay,Present,Yea,Yea,Yea,Nay,Present,Nay,Yea,Yea,Present,Nay,Nay,Yea,Present,Present,1940-01-29,0,,unknown,hr6261
Present,Yea,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,,Nay,Nay,Nay,Present,Nay,Nay,Present,Yea,Present,Nay,Nay,Nay,Nay,Present,Present,Nay,,,,Nay,Present,Present,Present,Nay,Nay,Present,Yea,Yea,Yea,Present,Present,Nay,Nay,Nay,Yea,,Present,Nay,Nay,Present,Nay,Nay,Yea,Nay,Yea,Present,Present,Nay,Present,,Nay,Nay,Nay,Present,Yea,Nay,Present,Present,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,,Nay,Nay,,Nay,Present,,Nay,Nay,Present,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Present,Present,Yea,Present,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Present,Nay,Nay,Nay,Present,Present,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Present,Yea,Yea,Present,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Present,Nay,Nay,Present,,Nay,Yea,Present,Nay,,,Yea,Nay,Nay,Yea,Present,Present,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Present,Nay,Nay,Present,Nay,Nay,Present,Nay,Nay,Nay,,Nay,Present,Nay,Nay,Present,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Present,Present,,Yea,Nay,Nay,Present,Present,Present,Nay,Present,Present,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Present,Present,Nay,Nay,Present,Nay,Present,Nay,Nay,Yea,,Yea,Nay,,Nay,Present,Present,Yea,Nay,Present,,Present,Nay,,Nay,Present,Nay,Nay,Nay,Present,Nay,Present,Nay,Nay,Nay,Present,,Nay,Nay,Present,Nay,Nay,Nay,,,Not Voting,Nay,Yea,Nay,Nay,Present,Nay,Yea,Nay,Nay,Present,Nay,Nay,Present,Yea,Present,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Present,,Yea,Present,Nay,Nay,Nay,Nay,Nay,Not Voting,Present,,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Present,Nay,Present,Nay,Nay,Nay,Present,Nay,Nay,Nay,Present,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,Present,Present,Present,Nay,Nay,Present,Yea,Present,Nay,Nay,Present,Present,Nay,,Nay,Nay,Present,Present,Nay,,Present,Present,Nay,Present,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Present,Yea,Not Voting,Nay,Nay,,Yea,Nay,Yea,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,,Nay,Nay,Nay,Nay,Yea,Present,Nay,Yea,Nay,Nay,Present,Present,Nay,Nay,Present,Nay,Not Voting,Nay,Present,Present,1940-01-29,0,,unknown,hr6261
Present,Nay,Present,Nay,Nay,Present,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,,Not Voting,Nay,Present,Present,Yea,Nay,Present,Nay,Present,Yea,Yea,Present,Nay,Present,Present,Nay,,,,Nay,Nay,Present,Present,Yea,Nay,Present,Nay,Nay,Present,Present,Present,Present,Present,Nay,Yea,,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Present,Present,Nay,Present,,Nay,Yea,Yea,Present,Nay,Yea,Present,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Present,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Present,Yea,Nay,Present,,Nay,Nay,,Nay,Present,,Nay,Nay,Yea,Present,Present,Nay,Yea,Present,Yea,Yea,Present,Present,Not Voting,Yea,Present,Present,Nay,Yea,Yea,Nay,,Nay,,Nay,Present,Present,Yea,Yea,Present,Present,Present,Present,Nay,Nay,Present,Yea,Nay,Nay,Nay,Present,Present,Yea,Present,Present,Nay,Nay,Yea,Nay,Nay,Nay,Present,Present,Nay,Nay,Present,,Nay,Present,Present,Yea,,,Nay,Nay,Yea,Nay,Present,Present,Yea,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Present,Yea,Present,Not Voting,Present,Yea,Present,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Present,Nay,Yea,Nay,Nay,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Present,Present,,Yea,Nay,Nay,Nay,Present,Present,Nay,Nay,Present,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Present,Nay,Present,Nay,Present,Present,Present,Nay,Yea,Present,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,,Present,Present,Not Voting,Yea,Nay,Present,,Present,Yea,,Nay,Present,Yea,Yea,Nay,Yea,Nay,Present,Nay,Nay,Nay,Present,,Nay,Nay,Present,Yea,Nay,Nay,,,Present,Yea,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Present,Yea,Nay,Present,Yea,Present,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Present,Present,,Present,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,,Yea,Present,Nay,Nay,Yea,Nay,Nay,Nay,Present,Nay,Present,Present,Nay,Present,Present,Yea,Nay,Nay,Present,Present,Nay,Present,Yea,Yea,Nay,Present,Not Voting,Nay,Nay,Present,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Nay,Present,Nay,Yea,Nay,Present,Yea,Present,Nay,Nay,Present,Present,Present,,Nay,Present,Present,Present,Nay,,Present,Nay,Nay,Present,Nay,Present,Nay,Yea,Present,Present,Present,Yea,Present,Nay,Nay,Nay,Present,,Yea,Nay,Nay,Present,,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Present,Nay,Yea,Yea,Present,Nay,Nay,Present,Nay,,Yea,Nay,Yea,Yea,Nay,Present,Yea,Yea,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Present,Present,Present,Present,1940-01-29,0,,unknown,hr6261
