B000127,B000212,B000345,B000398,B000664,B000763,B000914,C000291,C000499,C000553,D000295,D000308,E000024,E000070,E000078,E000124,F000122,G000005,H000398,H000735,H000739,J000005,J000137,J000170,J000194,K000079,K000212,K000217,K000287,L000083,L000376,L000378,L000485,M000034,M000475,M000550,M000774,N000118,P000045,P000084,R000500,S000268,S000609,T000017,T000086,T000102,T000108,T000171,V000009,V000037,W000148,W000540,date,isAmendment,requires,result,title
Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,1824-05-21,0,,unknown,
Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,1824-05-21,0,,unknown,
Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,1824-05-21,0,,unknown,
Yea,Yea,Yea,Nay,,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,1824-05-21,0,,unknown,
Nay,Nay,Yea,Nay,,Nay,Yea,Yea,Nay,,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,1824-05-22,0,,unknown,
Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,1824-05-22,0,,unknown,
Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,1824-05-22,0,,unknown,
Yea,Yea,Nay,Yea,,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,1824-05-22,0,,unknown,
Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,,Nay,Nay,Yea,Nay,Yea,1824-05-22,0,,unknown,
Yea,Yea,Nay,Yea,,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,1824-05-22,0,,unknown,
