A000317,B000127,B001137,C000083,C000912,D000002,D000024,D000308,E000024,E000078,E000197,F000154,F000284,F000389,G000005,G000264,H000176,H000795,H000991,J000137,K000212,L000011,L000177,M000034,M000636,M000966,M001003,N000118,O000127,P000045,R000313,R000500,S000052,S000628,S000949,S000972,T000015,T000017,T000102,T000171,T000264,T000382,V000037,W000516,W000540,W000595,date,isAmendment,requires,result,title
,Yea,Nay,,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,1818-12-09,0,,unknown,
,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,1818-12-16,0,,unknown,
,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,1818-12-17,0,,unknown,
,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,1818-12-17,0,,unknown,
,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,1818-12-17,0,,unknown,
,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,1818-12-17,0,,unknown,
,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,1818-12-18,0,,unknown,
,Not Voting,Nay,,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Nay,Nay,1818-12-18,0,,unknown,
,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,1818-12-21,0,,unknown,
,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,1818-12-23,0,,unknown,
,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,1818-12-23,0,,unknown,
,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,1818-12-24,0,,unknown,
,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,1818-12-28,0,,unknown,
,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,1818-12-28,0,,unknown,
,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,1818-12-28,0,,unknown,
,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,,Not Voting,,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,,Not Voting,,Yea,Not Voting,Yea,Nay,1818-12-30,0,,unknown,
,Yea,Nay,,Not Voting,Nay,Not Voting,Yea,Nay,,Not Voting,,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Yea,Not Voting,1819-01-04,0,,unknown,
,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,1819-01-06,0,,unknown,
,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Yea,Yea,Not Voting,1819-01-06,0,,unknown,
,Yea,Nay,,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Nay,Not Voting,1819-01-07,0,,unknown,
,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Not Voting,Yea,Not Voting,1819-01-08,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Nay,,Nay,Nay,Yea,Not Voting,1819-01-11,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,,Nay,Yea,Yea,Not Voting,1819-01-11,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,,Nay,,Nay,Nay,Yea,Not Voting,1819-01-12,0,,unknown,
,Nay,Yea,,Yea,Nay,Not Voting,Yea,Yea,,Nay,,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,,Yea,Yea,Yea,Not Voting,1819-01-13,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Yea,Nay,,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Nay,Not Voting,1819-01-14,0,,unknown,
,Nay,Yea,,Yea,Yea,Not Voting,Nay,Yea,,Nay,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,,Yea,Yea,Yea,Not Voting,1819-01-14,0,,unknown,
,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Yea,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Nay,Not Voting,1819-01-15,0,,unknown,
,Nay,Yea,,Yea,Yea,Not Voting,Nay,Yea,,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Yea,Yea,Yea,Nay,1819-01-18,0,,unknown,
,Yea,Not Voting,,Nay,Yea,Not Voting,Nay,Yea,,Yea,,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,,Nay,Yea,Yea,Nay,1819-01-21,0,,unknown,
,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Yea,,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Yea,Nay,1819-01-22,0,,unknown,
,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,,Yea,Yea,Yea,Nay,1819-01-22,0,,unknown,
,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Yea,Yea,Yea,1819-01-25,0,,unknown,
,Yea,Nay,,Yea,Nay,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,1819-01-27,0,,unknown,
,Yea,Nay,,Nay,Nay,Not Voting,Nay,Yea,,Yea,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Not Voting,,Nay,Yea,Nay,Yea,1819-01-29,0,,unknown,
,Yea,Nay,,Nay,Nay,Not Voting,Nay,Yea,,Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Yea,,Yea,Yea,Nay,Yea,1819-02-01,0,,unknown,
,Nay,Yea,,Yea,Nay,Not Voting,Yea,Yea,,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,,Yea,,Yea,Yea,Yea,Yea,1819-02-04,0,,unknown,
,Nay,Yea,,Nay,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,,Nay,,Yea,Not Voting,Yea,Yea,1819-02-09,0,,unknown,
,Yea,Yea,,Yea,Nay,Not Voting,Yea,Nay,,Yea,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,,Nay,,Nay,Nay,Yea,Yea,1819-02-10,0,,unknown,
,Yea,Yea,,Yea,Nay,Not Voting,Yea,Nay,,Yea,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,,Nay,,Nay,Nay,Not Voting,Yea,1819-02-11,0,,unknown,
,Yea,Yea,,Yea,Yea,Not Voting,Yea,Nay,,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,,Yea,,Yea,Yea,Nay,Nay,1819-02-11,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Yea,,Yea,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Nay,,Nay,Nay,Yea,Yea,1819-02-12,0,,unknown,
,Yea,Nay,,Nay,Nay,Not Voting,Yea,Yea,,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,,Nay,Nay,Yea,Yea,1819-02-15,0,,unknown,
,Nay,Nay,,Yea,Nay,Not Voting,Yea,Nay,,Yea,,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,,Nay,,Nay,Nay,Yea,Yea,1819-02-16,0,,unknown,
,Yea,Yea,,Nay,Yea,Not Voting,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,,Yea,Yea,Nay,Nay,1819-02-16,0,,unknown,
,Nay,Nay,,Yea,Nay,Not Voting,Yea,Yea,,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,,Nay,,Nay,Nay,Yea,Yea,1819-02-17,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,,Nay,Not Voting,Nay,Nay,1819-02-18,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,,,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,,Nay,Nay,Nay,Nay,1819-02-18,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,,,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,1819-02-18,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,,,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Yea,1819-02-18,0,,unknown,
,Nay,Nay,,Yea,Nay,Not Voting,Nay,Yea,,Nay,,,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Nay,Yea,1819-02-18,0,,unknown,
,Nay,Nay,,Yea,Nay,Not Voting,Nay,Nay,,Nay,,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,,Nay,,Nay,Yea,Nay,Yea,1819-02-18,0,,unknown,
,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,,Nay,,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,,Nay,,Nay,Nay,Nay,Nay,1819-02-18,0,,unknown,
,Yea,Yea,,Not Voting,Nay,Not Voting,Nay,Yea,,Nay,,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,,Nay,,Nay,Nay,Nay,Nay,1819-02-18,0,,unknown,
,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,,,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,,Nay,Not Voting,Yea,Nay,1819-02-22,0,,unknown,
,Nay,Yea,,Nay,Yea,Not Voting,Not Voting,Yea,,Yea,,,Nay,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,,Yea,Nay,Yea,Yea,1819-02-23,0,,unknown,
,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,1819-02-24,0,,unknown,
,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,,,Nay,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,1819-02-24,0,,unknown,
,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,,Nay,,,Nay,Nay,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,,Yea,,Yea,Nay,Nay,Yea,1819-02-27,0,,unknown,
,Yea,Nay,,Yea,Yea,Yea,Nay,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Nay,1819-02-27,0,,unknown,
,Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,,Nay,,Yea,Yea,Yea,Nay,1819-02-27,0,,unknown,
,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,,Not Voting,,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,,Not Voting,,Not Voting,Yea,Not Voting,Yea,1819-03-01,0,,unknown,
,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,,Not Voting,Nay,Nay,Yea,1819-03-01,0,,unknown,
,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,,Yea,Not Voting,Yea,Yea,1819-03-03,0,,unknown,
,Nay,Nay,,Not Voting,Nay,Nay,Nay,Nay,,Yea,,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,,Nay,,Nay,Yea,Nay,Nay,1819-03-03,0,,unknown,
