B000127,B000212,B000398,B000577,B000914,B000921,C000291,D000295,D000308,E000024,E000078,E000124,F000122,G000005,H000735,H000739,J000137,J000170,K000079,K000212,K000217,K000287,L000083,L000376,L000378,L000485,M000034,M000774,M000966,N000118,O000127,P000045,P000084,P000362,P000386,R000377,R000500,S000268,S000609,S000628,S000689,S000949,T000017,T000086,T000102,T000171,V000009,V000037,W000061,W000148,W000516,W000540,date,isAmendment,requires,result,title
Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Not Voting,Nay,Nay,,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,1822-03-06,0,,unknown,
Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Yea,Nay,,Yea,Yea,Nay,Not Voting,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,1822-03-08,0,,unknown,
Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Not Voting,Nay,Yea,,Nay,Nay,Yea,Not Voting,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,1822-03-08,0,,unknown,
Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Yea,,Nay,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,1822-03-08,0,,unknown,
Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,1822-03-11,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,1822-03-11,0,,unknown,
Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,Nay,,Yea,Not Voting,Nay,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,1822-03-11,0,,unknown,
Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,1822-03-12,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,1822-03-13,0,,unknown,
Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Nay,,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,1822-03-13,0,,unknown,
Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,1822-03-14,0,,unknown,
Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Nay,,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,1822-03-14,0,,unknown,
Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,1822-03-15,0,,unknown,
Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,,Nay,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,1822-03-16,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Nay,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,1822-03-20,0,,unknown,
Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,1822-03-21,0,,unknown,
Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,Nay,,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,1822-03-22,0,,unknown,
Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,1822-03-22,0,,unknown,
Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Nay,,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,1822-03-22,0,,unknown,
Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,1822-03-22,0,,unknown,
Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,1822-03-22,0,,unknown,
Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Not Voting,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Not Voting,Nay,Yea,,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,1822-03-29,0,,unknown,
Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,1822-03-29,0,,unknown,
Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,,Yea,Not Voting,Nay,Yea,,Nay,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,1822-04-01,0,,unknown,
Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Not Voting,,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,1822-04-02,0,,unknown,
Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Nay,Yea,,Nay,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,1822-04-03,0,,unknown,
Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Yea,Nay,Not Voting,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,1822-04-16,0,,unknown,
Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Yea,Nay,,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,1822-04-17,0,,unknown,
Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,1822-04-19,0,,unknown,
Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,1822-04-19,0,,unknown,
Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,1822-04-19,0,,unknown,
Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,1822-04-20,0,,unknown,
Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,,Nay,Yea,Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,1822-04-20,0,,unknown,
Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,1822-04-20,0,,unknown,
Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,1822-04-20,0,,unknown,
Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Yea,,Nay,Nay,Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,1822-04-20,0,,unknown,
Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,,Yea,Not Voting,Nay,Nay,,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,1822-04-22,0,,unknown,
Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,Nay,,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,1822-04-24,0,,unknown,
Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1822-04-29,0,,unknown,
Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,1822-04-29,0,,unknown,
Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,,Yea,Nay,Yea,Yea,,Yea,Not Voting,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,1822-04-29,0,,unknown,
Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,Yea,Nay,,Yea,Not Voting,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,1822-04-29,0,,unknown,
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1822-04-29,0,,unknown,
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1822-05-01,0,,unknown,
Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Nay,Not Voting,Nay,Yea,,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,1822-05-03,0,,unknown,
Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,Nay,Not Voting,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,1822-05-04,0,,unknown,
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Nay,,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,1822-05-06,0,,unknown,
Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,,Nay,Yea,Nay,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,1822-05-08,0,,unknown,
