A000062,A000244,A000342,B000046,B000099,B000111,B000132,B000145,B000460,B000614,B000816,B000823,B000874,B001013,B001150,B001169,B001177,B001208,C000133,C000138,C000290,C000338,C000428,C000440,C000684,C000774,D000025,D000111,D000469,E000018,E000112,F000081,G000131,G000141,G000205,G000232,G000418,G000519,G000532,H000080,H000334,H000365,H000385,H000598,H000731,J000026,J000093,J000127,J000140,K000176,L000005,L000070,L000394,L000493,M000053,M000088,M000279,M000308,M000332,M000438,M000499,M000583,M000615,M000771,M000895,M001082,M001108,N000176,O000034,O000088,O000146,P000218,R000006,R000112,R000167,R000179,R000320,R000536,S000196,S000369,S000530,S000553,S000901,T000009,T000164,T000172,T000177,T000289,T000387,T000409,T000446,V000025,V000050,W000021,W000088,W000096,W000097,W000248,W000330,W000344,W000396,W000465,W000563,W000581,date,isAmendment,requires,result,title
Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Present,Not Voting,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,,Nay,Yea,Nay,Nay,Yea,,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,1944-01-11,0,,unknown,hr3687
Yea,Yea,Yea,Yea,Yea,Present,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Nay,Yea,,,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Present,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Present,Nay,Present,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Present,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,1944-01-15,0,,unknown,hr3687
Nay,Yea,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Present,Nay,Not Voting,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,,Not Voting,Nay,Yea,Yea,Nay,,,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,,Nay,Yea,Not Voting,Yea,Yea,Yea,Present,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Present,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Present,,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,1944-01-17,0,,unknown,hr3687
Nay,Yea,Present,Nay,Nay,Yea,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,,,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Present,Nay,Present,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Present,Yea,Nay,Nay,,Yea,Not Voting,Yea,Nay,Nay,Not Voting,1944-01-18,0,,unknown,hr3687
Yea,Nay,Present,Yea,Yea,Nay,,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,,,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,,Yea,Yea,Nay,Nay,Nay,Not Voting,Present,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Present,Nay,Yea,Yea,,Nay,Present,Nay,Yea,Yea,Not Voting,1944-01-18,0,,unknown,hr3687
Nay,Yea,Yea,Yea,Yea,Not Voting,,Nay,Nay,Nay,Yea,Present,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Present,Yea,Not Voting,Nay,Nay,,Nay,Present,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,,Not Voting,Present,Nay,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Nay,Yea,Present,,Nay,Yea,Nay,Nay,Nay,Nay,Present,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Yea,Yea,Nay,Nay,Nay,Nay,Present,Nay,Not Voting,,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,1944-01-18,0,,unknown,hr3687
Yea,Nay,Nay,Nay,Nay,Not Voting,,Yea,Nay,Yea,Nay,Present,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Not Voting,Yea,Nay,,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,,Not Voting,Not Voting,Yea,Yea,Nay,,,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Present,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,Not Voting,,Nay,Yea,Yea,Present,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Not Voting,1944-01-18,0,,unknown,hr3687
Yea,Nay,Yea,Nay,Nay,Not Voting,,Yea,Nay,Yea,Not Voting,Present,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Present,Yea,Not Voting,Yea,Not Voting,,Nay,Present,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Nay,Not Voting,Nay,,Not Voting,Nay,Yea,Not Voting,Present,,,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Present,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Present,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,Not Voting,Nay,Yea,Yea,Not Voting,1944-01-19,0,,unknown,hr3687
Nay,Nay,Nay,Yea,Not Voting,Present,,Nay,Yea,Nay,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Present,Nay,Not Voting,Nay,Not Voting,,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Present,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Not Voting,1944-01-21,0,,unknown,hr3687
Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Present,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Yea,,,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,1944-01-24,0,,unknown,hr3477
