A000016,A000114,A000138,A000179,A000186,A000196,A000206,A000216,A000227,A000239,A000250,A000257,A000296,B000086,B000093,B000139,B000176,B000191,B000232,B000237,B000271,B000296,B000332,B000356,B000377,B000379,B000486,B000515,B000545,B000565,B000607,B000621,B000640,B000725,B000742,B000743,B000794,B000884,B000909,B000940,B000976,B000999,B001016,B001024,B001039,B001056,B001069,B001072,B001079,B001084,B001161,B001179,B001214,C000070,C000113,C000115,C000117,C000132,C000154,C000181,C000192,C000195,C000221,C000264,C000317,C000346,C000365,C000390,C000439,C000473,C000515,C000565,C000584,C000614,C000617,C000645,C000661,C000736,C000755,C000795,C000810,C000831,C000887,C000889,C000898,C000932,C000968,C000970,C000993,C000996,C001006,D000007,D000067,D000094,D000158,D000160,D000212,D000292,D000335,D000338,D000349,D000354,D000360,D000362,D000363,D000406,D000411,D000448,D000453,D000496,D000571,D000585,E000023,E000029,E000119,E000135,E000141,E000146,E000157,E000160,E000178,E000181,E000182,F000051,F000060,F000066,F000075,F000085,F000142,F000152,F000175,F000191,F000233,F000241,F000255,F000267,F000401,F000404,F000417,F000418,F000432,G000014,G000017,G000031,G000098,G000101,G000102,G000111,G000135,G000163,G000169,G000181,G000194,G000206,G000207,G000297,G000316,G000320,G000332,G000338,G000360,G000379,G000381,G000384,G000415,G000447,G000472,G000493,G000538,G000543,H000014,H000036,H000050,H000060,H000081,H000146,H000200,H000212,H000217,H000249,H000260,H000284,H000298,H000405,H000437,H000443,H000450,H000492,H000548,H000550,H000613,H000640,H000663,H000668,H000678,H000683,H000713,H000740,H000741,H000768,H000786,H000863,H000943,I000052,J000013,J000058,J000073,J000088,J000096,J000100,J000117,J000121,J000150,J000157,J000159,J000160,J000165,J000183,J000249,J000264,J000278,K000029,K000030,K000039,K000041,K000044,K000058,K000111,K000130,K000138,K000170,K000171,K000196,K000231,K000244,K000257,K000261,K000301,K000341,L000003,L000037,L000052,L000065,L000076,L000095,L000157,L000161,L000163,L000238,L000251,L000279,L000291,L000497,L000501,L000537,M000001,M000039,M000053,M000065,M000091,M000094,M000112,M000113,M000122,M000191,M000199,M000224,M000272,M000354,M000360,M000364,M000374,M000446,M000454,M000460,M000504,M000545,M000568,M000574,M000579,M000611,M000661,M000664,M000693,M000715,M000745,M000756,M000764,M000778,M000855,M000859,M000993,M000995,M001040,M001058,M001078,M001081,M001099,M001112,M001114,M001127,N000073,N000092,N000135,N000137,N000153,O000009,O000014,O000016,O000029,O000056,O000058,O000065,O000089,O000133,O000137,P000002,P000103,P000142,P000260,P000261,P000285,P000303,P000309,P000371,P000387,P000395,P000398,P000475,P000488,P000494,P000503,P000524,P000536,R000001,R000022,R000032,R000046,R000056,R000082,R000108,R000111,R000113,R000132,R000214,R000280,R000288,R000317,R000341,R000358,R000369,R000373,R000392,R000406,R000410,R000413,R000424,R000473,R000475,R000538,S000001,S000011,S000067,S000069,S000079,S000105,S000126,S000144,S000156,S000174,S000194,S000277,S000335,S000342,S000377,S000406,S000436,S000437,S000481,S000536,S000554,S000580,S000585,S000590,S000668,S000676,S000701,S000717,S000755,S000798,S000816,S000820,S000823,S000845,S000896,S000918,S000923,S000936,S001058,S001071,S001072,S001076,T000001,T000018,T000028,T000045,T000070,T000156,T000175,T000189,T000263,T000295,T000315,T000320,T000358,T000384,V000069,V000100,V000105,V000118,V000119,V000125,W000012,W000108,W000130,W000183,W000230,W000252,W000257,W000265,W000294,W000304,W000327,W000343,W000361,W000428,W000430,W000439,W000450,W000483,W000572,W000641,W000645,W000668,W000678,W000683,W000718,W000720,W000744,W000762,Z000009,date,isAmendment,requires,result,title
Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Not Voting,Yea,Yea,Present,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Present,Yea,Present,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,,Present,Yea,Yea,Yea,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1944-01-19,0,,unknown,s1543
Nay,Nay,Yea,Yea,Nay,Yea,,Yea,Yea,Present,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Present,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Present,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Present,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Yea,Present,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Present,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Nay,Nay,Present,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,Nay,Yea,Present,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Present,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Present,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,,Present,Nay,Nay,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,,Yea,Not Voting,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Present,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Present,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Present,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Yea,Present,Yea,Nay,Present,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Present,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Present,Yea,Yea,Yea,Yea,Present,Nay,Nay,Nay,1944-01-25,0,,unknown,hjres192
Nay,Yea,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Present,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Nay,,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Present,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Present,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Present,Nay,Yea,Yea,Nay,Nay,Present,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Present,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,,Present,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,,Yea,Yea,Present,Nay,Nay,Nay,Yea,Yea,Yea,Present,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Present,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Present,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Present,Yea,Nay,Not Voting,Yea,Nay,Present,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Present,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,Not Voting,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Present,Yea,Yea,Nay,Yea,Present,Not Voting,Nay,Nay,1944-01-25,0,,unknown,hjres192
Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Present,Present,Yea,Present,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Present,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Present,Yea,Yea,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Present,Nay,Yea,Yea,Yea,Nay,Nay,Present,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Present,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Present,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,Nay,Present,Yea,Yea,Yea,1944-01-25,0,,unknown,hjres192
Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Present,Nay,Nay,Present,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,Nay,Present,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,,Nay,Yea,Yea,Not Voting,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Present,Yea,Yea,Yea,Present,Nay,Yea,Nay,Nay,Nay,Present,Yea,Yea,Yea,Present,Yea,Nay,Nay,Present,Yea,Yea,Nay,Present,Nay,Present,Present,Yea,Yea,Nay,Present,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Present,Present,Nay,Yea,Yea,Yea,Present,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,,Present,Nay,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Present,Yea,Yea,,Yea,Yea,Yea,Present,,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Present,Yea,Yea,Nay,Yea,Present,Nay,Present,Nay,Yea,,Nay,Nay,Present,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Present,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Present,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Present,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Present,,Yea,Not Voting,Yea,Yea,Nay,Present,Nay,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,1944-01-26,0,,unknown,s1543
Yea,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,Present,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Present,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Present,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Nay,,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Nay,Present,Yea,Present,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,,Nay,Nay,Yea,Present,Yea,,Yea,Yea,Yea,Yea,Present,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Yea,Nay,Yea,Present,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Present,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Present,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Present,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Present,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Present,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,1944-02-01,0,,unknown,hres412
