B000226,B001186,C000185,D000013,D000324,E000147,E000155,F000100,F000313,G000403,G000526,H000368,H000508,I000053,J000182,J000198,K000212,L000067,L000201,M000031,M000858,M000985,P000102,R000091,S000154,S000805,S001009,W000059,W000633,date,isAmendment,requires,result,title
Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,1790-05-21,0,,unknown,s26
Nay,Nay,Nay,Nay,,Yea,Yea,Yea,,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,1790-05-26,0,,unknown,s27
Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,1790-05-26,0,,unknown,s28
Nay,Yea,Nay,Yea,,Yea,Yea,Yea,,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,1790-05-26,0,,unknown,s29
Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,1790-05-27,0,,unknown,s30
Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,1790-06-08,0,,unknown,s31
Nay,Yea,Nay,Yea,,Nay,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,1790-06-08,0,,unknown,s32
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,1790-06-08,0,,unknown,s33
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,1790-06-08,0,,unknown,s34
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,1790-06-14,0,,unknown,s35
Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,,,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,1790-06-21,0,,unknown,s36
Nay,Yea,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,1790-06-25,0,,unknown,s37
Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-06-28,0,,unknown,s38
Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-28,0,,unknown,s39
Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,1790-06-28,0,,unknown,s40
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-28,0,,unknown,s41
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-28,0,,unknown,s42
Yea,Yea,Yea,Nay,,Nay,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,1790-06-28,0,,unknown,s43
Yea,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,1790-06-28,0,,unknown,s44
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-06-28,0,,unknown,s45
Yea,Nay,Yea,Nay,,Yea,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-29,0,,unknown,s46
Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-29,0,,unknown,s47
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-06-29,0,,unknown,s48
Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-29,0,,unknown,s49
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-06-29,0,,unknown,s50
Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,1790-06-29,0,,unknown,s51
Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,1790-06-30,0,,unknown,s52
Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,1790-06-30,0,,unknown,s53
