A000197,B000249,B000745,B000802,C000076,C000289,C000482,C000671,C000895,C001031,D000024,F000344,G000005,G000136,G000183,G000215,G000293,G000442,G000489,H000618,H000795,L000036,L000229,L000378,M000076,M000240,M000633,M000712,P000067,P000324,P000431,R000125,R000346,S000524,S000566,S000609,S001073,T000015,T000085,T000249,T000423,W000392,W000411,W000750,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,,Not Voting,,,,Yea,Yea,Nay,Yea,,Nay,Nay,,Nay,,,Yea,,Yea,,1810-04-10,0,,unknown,,,,,unknown
Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,,,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,,Yea,Nay,Nay,Yea,,Nay,,,,Yea,Nay,Yea,Nay,,Yea,Yea,,Nay,,,Nay,,Nay,,1810-04-10,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,,Yea,Yea,Nay,Nay,,Yea,,,,Nay,Nay,Nay,Yea,,Nay,Nay,,Yea,,,Nay,,Nay,,1810-04-12,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,,Nay,,,,Yea,Not Voting,Nay,Nay,,Nay,Nay,,Nay,,,Nay,,Nay,,1810-04-14,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,,Nay,Yea,Yea,Not Voting,,Yea,,,,Nay,Not Voting,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,,1810-04-14,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,,,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,,,Yea,Nay,Nay,Yea,,Yea,,,,Yea,Nay,Nay,Yea,,Nay,Nay,,Not Voting,,,Yea,,Yea,,1810-04-14,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,,,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,,,Not Voting,Yea,Yea,Nay,,Nay,,,,Nay,Yea,Yea,Nay,,Yea,Yea,,Not Voting,,,Nay,,Yea,,1810-04-14,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,,,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,,,Not Voting,Nay,Yea,Nay,,Nay,,,,Nay,Yea,Yea,Nay,,Yea,Yea,,Nay,,,Nay,,Nay,,1810-04-14,0,,unknown,,,,,unknown
Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,,,Yea,Nay,Yea,Nay,,Not Voting,,,,Nay,Yea,Yea,Nay,,Yea,Yea,,Yea,,,Nay,,Nay,,1810-04-16,0,,unknown,,,,,unknown
Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,,Yea,Nay,Nay,Nay,,Yea,,,,Yea,Not Voting,Nay,Not Voting,,Nay,Nay,,Yea,,,Yea,,Yea,,1810-04-18,0,,unknown,,,,,unknown
Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,,Yea,Nay,Nay,Nay,,Nay,,,,Nay,Nay,Nay,Not Voting,,Yea,Nay,,Yea,,,Nay,,Nay,,1810-04-18,0,,unknown,,,,,unknown
Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,,Nay,Yea,Nay,Nay,,Nay,,,,Nay,Yea,Yea,Not Voting,,Yea,Yea,,Yea,,,Nay,,Nay,,1810-04-18,0,,unknown,,,,,unknown
Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,,,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,,Nay,Yea,Nay,Not Voting,,Yea,,,,Nay,Yea,Yea,Not Voting,,Nay,Yea,,Yea,,,Nay,,Not Voting,,1810-04-18,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,,Not Voting,Nay,Nay,Yea,,Not Voting,,,,Yea,Yea,Yea,Not Voting,,Yea,Nay,,Yea,,,Nay,,Yea,,1810-04-18,0,,unknown,,,,,unknown
Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,,,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,,,Yea,Nay,Yea,Nay,,Yea,,,,Nay,Yea,Nay,Yea,,Nay,Yea,,Yea,,,Nay,,Yea,,1810-04-19,0,,unknown,,,,,unknown
Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,,Yea,Yea,Yea,Yea,,Not Voting,,,,Yea,Yea,Nay,Not Voting,,Yea,Yea,,Nay,,,Yea,,Nay,,1810-04-20,0,,unknown,,,,,unknown
Nay,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,,,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,,,Nay,Nay,Nay,Nay,,Not Voting,,,,Yea,Yea,Yea,Nay,,Nay,Nay,,Nay,,,Nay,,Yea,,1810-04-21,0,,unknown,,,,,unknown
Nay,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,,Nay,Nay,Nay,Yea,,Nay,,,,Yea,Not Voting,Yea,Nay,,Nay,Yea,,Yea,,,Nay,,Nay,,1810-04-23,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,,Nay,Nay,Nay,Yea,,Nay,,,,Yea,Nay,Yea,Nay,,Yea,Nay,,Yea,,,Yea,,Nay,,1810-04-24,0,,unknown,,,,,unknown
Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,,Nay,Nay,Yea,Nay,,Nay,,,,Yea,Nay,Yea,Not Voting,,Nay,Yea,,Yea,,,Nay,,Yea,,1810-04-24,0,,unknown,,,,,unknown
Yea,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,,,Nay,Yea,Nay,,Nay,,,,Nay,Yea,Nay,Not Voting,,Nay,Yea,,Nay,,,Nay,,Not Voting,,1810-04-24,0,,unknown,,,,,unknown
Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,,,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,,,,Nay,Nay,Nay,,Yea,,,,Nay,Nay,Yea,Yea,,Yea,Yea,,Nay,,,Nay,,Nay,,1810-04-25,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,,,,Nay,Yea,,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,,,Nay,Nay,Yea,,Nay,,,,Yea,Yea,Yea,Nay,,Yea,Nay,,Nay,,,Yea,,Nay,,1810-04-25,0,,unknown,,,,,unknown
Nay,Not Voting,Not Voting,Nay,,,,Nay,Nay,,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,,,Nay,Nay,Yea,,Nay,,,,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,,Yea,,,Nay,,Nay,,1810-04-26,0,,unknown,,,,,unknown
Yea,Not Voting,Not Voting,Yea,,,,Yea,Yea,,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,,,Yea,Nay,Yea,,Yea,,,,Nay,Not Voting,Nay,Not Voting,,Not Voting,Yea,,Yea,,,Yea,,Yea,,1810-04-26,0,,unknown,,,,,unknown
Nay,Not Voting,Not Voting,Nay,,,,Yea,Nay,,,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,,,,Nay,Yea,Nay,,Yea,,,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,,,,Nay,,Yea,,1810-04-26,0,,unknown,,,,,unknown
Yea,Not Voting,Not Voting,Yea,,,,Yea,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,,Yea,,,,Yea,Yea,Yea,Not Voting,,Nay,Yea,,,,,Yea,,Yea,,1810-04-26,0,,unknown,,,,,unknown
Yea,Not Voting,Not Voting,Yea,,,,Nay,Nay,,,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,,,,Nay,Yea,Yea,,Nay,,,,Yea,Yea,Yea,Not Voting,,Nay,Nay,,,,,Yea,,Nay,,1810-04-26,0,,unknown,,,,,unknown
Yea,Not Voting,Not Voting,Not Voting,,,,Not Voting,Yea,,,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,,,,Yea,Yea,Yea,,Yea,,,,Yea,Not Voting,Yea,Nay,,Nay,Yea,,,,,Yea,,Nay,,1810-04-27,0,,unknown,,,,,unknown
Yea,Not Voting,Not Voting,Not Voting,,,,Nay,Yea,,,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,,,,Nay,Nay,Yea,,Yea,,,,Yea,Nay,Yea,Nay,,Yea,Yea,,,,,Yea,,Nay,,1810-04-27,0,,unknown,,,,,unknown
Yea,Yea,Not Voting,Not Voting,,,,Not Voting,Nay,,,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,,,,Nay,Yea,Nay,,Yea,,,,Yea,Yea,Yea,Yea,,Nay,Yea,,,,,Nay,,Yea,,1810-04-27,0,,unknown,,,,,unknown
Nay,Yea,Not Voting,Nay,,,,Nay,Nay,,,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,,,,Yea,Nay,Yea,,Nay,,,,Yea,Nay,Nay,Not Voting,,Nay,Nay,,,,,Not Voting,,Nay,,1810-04-27,0,,unknown,,,,,unknown
Yea,Nay,Not Voting,Nay,,,,Yea,Nay,,,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,,,Yea,Yea,Nay,,Nay,,,,Nay,Yea,Nay,Not Voting,,Nay,Nay,,,,,Nay,,Yea,,1810-04-27,0,,unknown,,,,,unknown
Yea,Yea,Not Voting,Yea,,,,Yea,Nay,,,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,,,,Yea,Yea,Nay,,Yea,,,,Nay,Yea,Yea,Not Voting,,Yea,Yea,,,,,Nay,,Yea,,1810-04-27,0,,unknown,,,,,unknown
Yea,Not Voting,Not Voting,Not Voting,,,,Yea,Yea,,,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,,,,Yea,Yea,Nay,,Yea,,,,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,,,,,Yea,,Yea,,1810-04-27,0,,unknown,,,,,unknown
Yea,Yea,Not Voting,Not Voting,,,,Yea,Yea,,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,,,Yea,Not Voting,Not Voting,,Yea,,,,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,,,,,Yea,,Yea,,1810-04-28,0,,unknown,,,,,unknown
Yea,Yea,Not Voting,Yea,,,,Nay,Nay,,,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,,,,Nay,Nay,Yea,,Nay,,,,Yea,Yea,Yea,Nay,,Nay,Yea,,,,,Nay,,Not Voting,,1810-04-30,0,,unknown,,,,,unknown
Nay,Nay,Not Voting,Not Voting,,,,Not Voting,Nay,,,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,,,Nay,Nay,Nay,,Nay,,,,Nay,Nay,Nay,Not Voting,,Yea,Nay,,,,,Yea,,Nay,,1810-05-01,0,,unknown,,,,,unknown
Not Voting,Nay,Not Voting,Not Voting,,,,Yea,Nay,,,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,,,Yea,Nay,Nay,,Yea,,,,Nay,Yea,Nay,Not Voting,,Yea,Nay,,,,,Nay,,Nay,,1810-05-01,0,,unknown,,,,,unknown
Nay,Nay,Not Voting,Nay,,,,Yea,Yea,,,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,,,,Yea,Yea,Nay,,Yea,,,,Yea,Nay,Nay,Yea,,Yea,Nay,,,,,Yea,,Yea,,1810-05-01,0,,unknown,,,,,unknown
Nay,Not Voting,Not Voting,Not Voting,,,,Yea,Yea,,,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,,,,Yea,Nay,Yea,,Nay,,,,Nay,Yea,Yea,Nay,,Yea,Nay,,,,,Yea,,Nay,,1810-05-01,0,,unknown,,,,,unknown
