A000041,A000197,A000282,B000049,B000084,B000249,B000745,B000787,B000929,B001186,C000525,C000572,C000671,D000165,E000114,F000344,G000005,G000183,H000618,H000870,J000017,L000401,M000029,M000226,M000831,M000891,N000086,O000060,P000324,P000393,P000468,S000557,S000566,S000567,S000609,S000955,S001073,T000086,T000348,V000083,W000287,W000392,W000750,W000768,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Yea,,,Nay,Yea,Yea,Yea,Yea,Not Voting,,Nay,Yea,Nay,Yea,,,Nay,Nay,,Not Voting,Not Voting,Yea,Not Voting,,,Yea,Nay,Not Voting,Nay,Yea,Yea,,Yea,Yea,Yea,,,Nay,,,Not Voting,Yea,Yea,1805-01-17,0,,unknown,,,,,unknown
Yea,Nay,,,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Not Voting,,,Nay,Yea,,Not Voting,Nay,Nay,Not Voting,,,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,,,Not Voting,,,Not Voting,Yea,Nay,1805-01-18,0,,unknown,,,,,unknown
Yea,Nay,,,Yea,Yea,Nay,Nay,Nay,Yea,,Nay,Yea,Nay,Not Voting,,,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,,,Not Voting,Yea,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,,,Not Voting,,,Not Voting,Yea,Nay,1805-01-18,0,,unknown,,,,,unknown
Yea,Nay,,,Nay,Not Voting,Nay,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,,,Nay,Yea,,Nay,Yea,Yea,Not Voting,,,Yea,Yea,Yea,Yea,Not Voting,Nay,,Yea,Nay,Yea,,,Not Voting,,,Yea,Yea,Nay,1805-01-21,0,,unknown,,,,,unknown
Yea,Yea,,,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Nay,,,Nay,Yea,,Yea,Not Voting,Not Voting,Yea,,,Nay,Nay,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,,,Not Voting,,,Not Voting,Not Voting,Yea,1805-01-26,0,,unknown,,,,,unknown
Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,,,Yea,Yea,,Not Voting,Yea,Yea,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Yea,,,Yea,Yea,Nay,1805-01-28,0,,unknown,,,,,unknown
Yea,Yea,,,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,,,Yea,Yea,,Nay,Nay,Nay,Nay,,,Nay,Yea,Yea,Yea,Not Voting,Yea,,Yea,Nay,Yea,,,Not Voting,,,Nay,Yea,Nay,1805-01-30,0,,unknown,,,,,unknown
Nay,Nay,,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Yea,Nay,,,Yea,Yea,,Not Voting,Nay,Nay,Yea,,,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,,Nay,Nay,Yea,,,Yea,,,Nay,Nay,Nay,1805-02-02,0,,unknown,,,,,unknown
Yea,Nay,,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Yea,Nay,,,Nay,Nay,,Not Voting,Yea,Yea,Yea,,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,,Nay,Yea,Nay,,,Yea,,,Yea,Nay,Yea,1805-02-02,0,,unknown,,,,,unknown
Yea,Nay,,,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,,,Yea,Yea,,Nay,Yea,Not Voting,Not Voting,,,Yea,Yea,Yea,Yea,Not Voting,Nay,,Nay,Yea,Nay,,,Yea,,,Not Voting,Not Voting,Yea,1805-02-05,0,,unknown,,,,,unknown
Yea,Nay,,,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,,,Nay,Yea,,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,,,Yea,,,Yea,Nay,Yea,1805-02-05,0,,unknown,,,,,unknown
Yea,Nay,,,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,,,Yea,Yea,,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,,,Yea,,,Yea,Not Voting,Yea,1805-02-06,0,,unknown,,,,,unknown
Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Nay,Yea,Yea,,,,Yea,,Yea,Yea,Yea,Yea,,,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,,,Yea,,,Not Voting,Yea,Yea,1805-02-06,0,,unknown,,,,,unknown
Yea,Yea,,,Yea,Nay,Yea,Yea,Yea,Not Voting,,Nay,Yea,Yea,Yea,,,,Yea,,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Yea,,,Yea,Yea,Yea,1805-02-07,0,,unknown,,,,,unknown
Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,Not Voting,,Yea,Nay,Nay,Nay,,,,Nay,,Nay,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,,Nay,,,Nay,Nay,Nay,1805-02-11,0,,unknown,,,,,unknown
Nay,Yea,,,Yea,Yea,Nay,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,,,,Nay,,Yea,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Yea,,,Nay,,,Nay,Yea,Nay,1805-02-11,0,,unknown,,,,,unknown
Yea,Nay,,,Not Voting,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Not Voting,Nay,,,,Yea,,Nay,Nay,Nay,Yea,,,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,,,Yea,,,Not Voting,Nay,Nay,1805-02-14,0,,unknown,,,,,unknown
Nay,Nay,,,Nay,Yea,Nay,Nay,Nay,Not Voting,,Yea,Nay,Nay,Nay,,,,Nay,,Nay,Nay,Nay,Yea,,,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,,,Yea,,,Yea,Nay,Nay,1805-02-15,0,,unknown,,,,,unknown
Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,,,,Yea,,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Yea,,,Yea,Yea,Nay,1805-02-15,0,,unknown,,,,,unknown
Yea,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,,,Yea,,Yea,Nay,Nay,Nay,,,Nay,Yea,Yea,Not Voting,Nay,Nay,,Nay,Nay,Nay,,,Yea,,,Yea,Not Voting,Nay,1805-02-16,0,,unknown,,,,,unknown
Nay,Yea,,,Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,,,,Nay,,Yea,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,,,Nay,,,Nay,Nay,Nay,1805-02-19,0,,unknown,,,,,unknown
Nay,Yea,,,Yea,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Nay,Yea,,,,Nay,,Not Voting,Not Voting,Yea,Yea,,,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,,,Not Voting,,,Not Voting,Yea,Yea,1805-02-22,0,,unknown,,,,,unknown
Yea,Yea,,,Yea,Yea,Nay,Yea,Yea,Not Voting,,Yea,Yea,Nay,Yea,,,,Nay,,Yea,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,,,Not Voting,,,Nay,Yea,Yea,1805-02-25,0,,unknown,,,,,unknown
Yea,Not Voting,,,Yea,Nay,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,,,,Yea,,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Not Voting,,,Yea,Yea,Yea,1805-02-27,0,,unknown,,,,,unknown
Nay,Yea,,,Yea,Nay,Nay,Yea,Yea,Not Voting,,Nay,Yea,Nay,Yea,,,,Nay,,Nay,Nay,Yea,Nay,,,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,,,Nay,,,Nay,Yea,Yea,1805-02-27,0,,unknown,,,,,unknown
Nay,Yea,,,Nay,Nay,Nay,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,,,,Nay,,Nay,Nay,Nay,Yea,,,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,,,Nay,,,Nay,Nay,Nay,1805-02-27,0,,unknown,,,,,unknown
Nay,Yea,,,Yea,Nay,Nay,Yea,Yea,Not Voting,,Nay,Yea,Nay,Yea,,,,Nay,,Yea,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,,,Nay,,,Nay,Nay,Yea,1805-02-27,0,,unknown,,,,,unknown
Nay,Yea,,,Nay,Nay,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Nay,Yea,,,,Nay,,Yea,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,,,Nay,,,Nay,Nay,Yea,1805-02-27,0,,unknown,,,,,unknown
Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,Not Voting,,,Nay,Nay,Nay,,,,Nay,,Nay,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,,Nay,,,Nay,Nay,Nay,1805-02-27,0,,unknown,,,,,unknown
Nay,Nay,,,Nay,Nay,Nay,Yea,Nay,Not Voting,,,Nay,Nay,Yea,,,,Nay,,Nay,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,,Nay,,,Nay,Nay,Nay,1805-02-27,0,,unknown,,,,,unknown
Nay,Nay,,,Nay,Nay,Nay,Yea,Nay,Not Voting,,,Nay,Nay,Yea,,,,Nay,,Yea,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,,,Nay,,,Nay,Nay,Yea,1805-02-27,0,,unknown,,,,,unknown
Nay,Yea,,,Yea,Not Voting,Nay,Yea,Yea,Not Voting,,,Yea,Nay,Yea,,,,Nay,,Yea,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,,,Nay,,,Nay,Yea,Yea,1805-02-27,0,,unknown,,,,,unknown
Yea,Yea,,,Yea,Not Voting,Not Voting,Yea,Yea,Nay,,,Yea,Yea,Not Voting,,,,Nay,,Yea,Yea,Nay,Yea,,,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Yea,Yea,,,Not Voting,,,Not Voting,Not Voting,Yea,1805-02-27,0,,unknown,,,,,unknown
Nay,Nay,,,Yea,Not Voting,Nay,Nay,Nay,Yea,,,Nay,Nay,Yea,,,,Yea,,Nay,Nay,Yea,Not Voting,,,Nay,Yea,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,,,Not Voting,,,Not Voting,Yea,Nay,1805-02-28,0,,unknown,,,,,unknown
Yea,Yea,,,Nay,Not Voting,Yea,Yea,Yea,Nay,,,Yea,Yea,Nay,,,,Nay,,Yea,Yea,Nay,Not Voting,,,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Yea,Nay,,,Not Voting,,,Yea,Nay,Yea,1805-02-28,0,,unknown,,,,,unknown
Nay,Nay,,,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,,,Not Voting,Nay,Nay,,,,Nay,,Nay,Not Voting,Yea,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,Nay,Nay,,,Not Voting,,,Nay,Nay,Yea,1805-03-03,0,,unknown,,,,,unknown
Nay,Yea,,,Yea,,Yea,Not Voting,Yea,Yea,,,Yea,Yea,Yea,,,,Yea,,Yea,Yea,Nay,Yea,,,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Not Voting,,,Not Voting,,,Yea,Yea,Yea,1805-03-03,0,,unknown,,,,,unknown
