A000002,A000011,A000016,A000024,A000052,A000073,A000106,A000195,A000206,A000208,A000216,A000221,A000222,A000223,A000225,A000227,A000228,A000229,B000062,B000064,B000092,B000141,B000178,B000190,B000223,B000239,B000241,B000292,B000296,B000310,B000323,B000330,B000371,B000377,B000416,B000426,B000550,B000594,B000600,B000605,B000607,B000608,B000621,B000676,B000736,B000778,B000851,B000867,B000880,B000890,B000893,B000909,B000918,B000966,B000967,B000969,B001024,B001092,B001104,B001111,B001155,B001156,B001212,B001216,C000019,C000067,C000117,C000143,C000228,C000263,C000264,C000275,C000342,C000346,C000409,C000431,C000475,C000476,C000512,C000596,C000629,C000645,C000709,C000736,C000772,C000780,C000869,C000991,C001005,C001014,D000001,D000004,D000041,D000094,D000122,D000158,D000211,D000255,D000260,D000266,D000269,D000279,D000344,D000355,S026,D000419,D000434,D000467,D000474,D000481,D000523,D000537,D000587,E000054,E000064,E000120,E000148,E000266,E000273,F000012,F000015,F000041,F000060,F000123,F000135,F000137,F000152,F000209,F000229,F000233,F000260,F000272,F000283,F000319,F000350,F000371,F000384,F000422,F000424,F000430,G000016,G000071,G000091,G000098,G000102,G000151,G000153,G000175,G000192,G000237,G000272,G000282,G000290,G000348,G000381,G000400,G000407,G000420,G000421,G000465,G000471,G000495,G000504,G000512,G000531,H000010,H000013,H000041,H000049,H000081,H000085,H000164,H000174,H000191,H000197,H000249,H000278,H000281,H000306,H000310,H000367,H000408,H000424,H000437,H000438,H000471,H000479,H000530,H000678,H000684,H000713,H000717,H000786,H000797,H000802,H000904,H000947,H001011,I000001,J000057,J000098,J000100,J000108,J000109,J000115,J000135,J000158,J000206,J000246,J000248,K000013,K000014,K000020,K000040,K000053,K000070,K000130,K000170,K000177,K000195,K000196,K000244,K000273,K000298,K000318,K000341,K000351,L000024,L000054,L000069,L000081,L000116,L000221,L000240,L000252,L000299,L000326,L000344,L000382,L000413,L000417,M000005,M000010,M000039,M000065,M000070,M000148,M000175,M000191,M000197,M000241,S104,M000253,M000273,M000340,M000393,M000399,M000418,M000436,M000478,M000558,M000568,M000620,M000692,M000727,M000762,M000770,M000778,M000796,M000799,M000847,M000876,M000892,M000930,M000958,M000990,M000995,M001009,M001021,M001031,M001035,M001074,M001098,M001104,M001114,N000009,N000019,N000028,N000113,N000133,N000178,O000015,O000016,O000053,O000055,O000058,O000083,O000084,O000098,O000120,O000121,P000098,P000103,P000106,P000196,P000218,P000230,P000303,P000328,P000348,P000349,P000352,P000366,P000398,P000401,P000426,P000477,P000522,P000559,P000569,Q000010,Q000013,R000018,R000041,R000143,R000150,R000152,R000165,R000187,R000188,R000206,R000250,R000280,R000282,R000312,R000314,R000357,R000374,R000389,R000401,R000404,R000423,R000424,R000426,R000442,R000458,R000464,R000467,R000485,R000508,R000556,R000562,S000102,S000108,S000117,S000135,S000159,S000161,S000184,S000219,S000232,S000243,S000327,S000335,S000367,S000378,S000388,S000395,S000401,S000406,S000408,S000454,S000472,S000473,S000545,S000554,S000596,S000669,S000756,S000762,S000764,S000769,S000775,S000776,S000778,S000829,S000860,S000928,S000997,S001037,S001057,T000010,T000022,T000099,T000109,T000110,T000156,T000198,T000200,T000218,T000233,T000237,T000297,T000298,T000373,T000395,T000411,T000436,U000001,U000004,U000034,V000024,V000047,V000051,V000105,W000018,W000089,W000108,W000197,W000212,W000226,W000290,W000310,W000320,W000323,W000362,W000410,W000428,W000439,W000445,W000517,W000559,W000571,W000572,W000610,W000641,W000763,W000780,W000782,Y000043,Y000060,Z000001,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Present,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,,,Yea,Present,Nay,Present,Present,Yea,Yea,Yea,Nay,Yea,Yea,Present,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Present,Not Voting,Yea,Yea,Present,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Present,Nay,Present,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Present,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Present,Yea,Present,Nay,Nay,Present,Nay,Present,Nay,Yea,Yea,Yea,Present,Nay,Yea,Not Voting,Nay,Nay,Nay,,Nay,Present,Nay,Present,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Present,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Present,Nay,,Nay,Nay,Nay,Present,Nay,Nay,Present,Yea,Present,Nay,Nay,Nay,,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Present,Yea,Present,Present,Nay,Not Voting,Nay,Nay,Nay,Present,Yea,Not Voting,Not Voting,Present,Not Voting,Nay,Not Voting,Nay,Nay,Present,Nay,Present,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Present,Yea,Present,Not Voting,Yea,Nay,Yea,Present,Nay,Present,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Present,Yea,Nay,Nay,Present,Present,Present,Yea,Present,Nay,Nay,Present,Present,Present,Nay,Yea,Nay,Present,Present,Nay,Present,Present,Nay,Not Voting,Yea,Present,Nay,Nay,Nay,Present,Yea,Nay,Yea,Not Voting,Present,Present,Present,Nay,Nay,Yea,Nay,Nay,Yea,Present,Nay,Nay,Not Voting,Present,Present,Yea,Nay,Nay,Nay,Nay,Present,Nay,Nay,Yea,Nay,Present,,Not Voting,Present,Nay,Present,Present,Present,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Present,Nay,Yea,Yea,Present,Nay,Present,Nay,Yea,Yea,Nay,Present,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Present,Nay,Not Voting,Nay,Nay,Yea,Present,Nay,Nay,Nay,Present,Not Voting,Nay,Present,Present,Yea,Nay,Present,Yea,Nay,Nay,Yea,Yea,Yea,Present,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Present,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Present,Nay,Yea,Present,Nay,Nay,Yea,Present,Nay,Yea,Nay,Nay,Nay,Present,Present,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Present,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Present,Yea,Present,Nay,Present,Present,Yea,Nay,Yea,Nay,1964-01-14,0,,unknown,s1153,None,,"An Act to amend the Federal Airport Act to extend the time for making; grants thereunder, and for other purposes",unknown
Yea,Nay,Yea,Yea,Present,Yea,Present,Present,Yea,Yea,Yea,Nay,Yea,Yea,Present,Present,Yea,Yea,,,Yea,Present,Yea,Present,Present,Yea,Yea,Yea,Yea,Nay,Yea,Present,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Present,Yea,Yea,Present,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Present,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Present,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,Yea,,Yea,Present,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Present,Present,Yea,,Yea,Yea,Yea,Present,Yea,Present,Present,Yea,Present,Yea,Yea,Yea,,,Yea,Present,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Present,Nay,Present,Present,Yea,Present,Yea,Yea,Yea,Present,Yea,Present,Present,Present,Present,Yea,Present,Yea,Yea,Present,Yea,Present,Yea,Present,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Present,Nay,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,Yea,Present,Present,Present,Yea,Present,Yea,Yea,Present,Present,Present,Yea,Yea,Yea,Present,Present,Yea,Present,Present,Yea,Present,Yea,Present,Yea,Yea,Yea,Present,Yea,Present,Yea,Present,Present,Present,Present,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Present,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Present,,Present,Present,Yea,Present,Present,Present,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Present,Present,Yea,Present,Present,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Present,Present,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Present,Yea,Present,Present,Yea,Yea,Yea,Yea,1964-01-14,0,,unknown,s1153,None,,"An Act to amend the Federal Airport Act to extend the time for making; grants thereunder, and for other purposes",unknown
Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,,Nay,Present,Nay,Not Voting,Present,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Present,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Present,,Nay,Yea,Nay,Present,Yea,Nay,Yea,Present,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Nay,Nay,Yea,Not Voting,Yea,Present,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Not Voting,Present,Nay,Yea,Yea,Nay,Present,Nay,Present,,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Present,Nay,Nay,Yea,Present,Yea,Yea,Present,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Present,Nay,Nay,Nay,Present,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Present,Present,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Present,Present,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Present,Yea,Yea,Present,Present,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Yea,,Present,Present,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Present,Nay,Not Voting,Nay,Nay,Present,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Present,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Present,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Present,Yea,Nay,Nay,Present,Not Voting,Yea,Present,Yea,Yea,Not Voting,Nay,Yea,Present,,Present,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Present,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Present,Yea,Nay,Nay,Yea,Nay,Present,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Present,Yea,Nay,,Present,Not Voting,Yea,Nay,Present,Yea,Nay,Yea,Yea,Nay,Present,Nay,Present,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,1964-01-21,0,,unknown,s2265,None,,An Act to amend the Library Services Act in order to increase the amount of assistance under such Act and to extend such assistance to nonrural areas,unknown
Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,,Nay,Present,Nay,Not Voting,Present,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Present,,Nay,Yea,Nay,Present,Yea,Nay,Yea,Present,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Nay,Nay,Yea,Present,Yea,Present,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Present,Present,Nay,Yea,Yea,Nay,Present,Nay,Not Voting,,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Present,Nay,Nay,Nay,Not Voting,Yea,Yea,Present,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Present,Nay,Nay,Nay,Present,Yea,Present,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Present,Present,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Present,Present,Not Voting,Nay,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Present,Yea,Yea,Present,Present,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Yea,,Present,Present,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Present,Nay,Present,Nay,Nay,Present,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Present,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Present,Yea,Nay,Nay,Present,Not Voting,Yea,Present,Yea,Yea,Not Voting,Nay,Yea,Present,,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Present,Not Voting,Yea,Nay,Yea,Yea,Present,Yea,Nay,Nay,Yea,Nay,Present,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Present,Yea,Nay,,Present,Present,Yea,Nay,Present,Yea,Nay,Nay,Yea,Nay,Present,Nay,Present,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,1964-01-21,0,,unknown,s2265,None,,An Act to amend the Library Services Act in order to increase the amount of assistance under such Act and to extend such assistance to nonrural areas,unknown
Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Present,Yea,Nay,Yea,,,Yea,Present,Yea,Not Voting,Present,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Present,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Present,,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Present,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,Nay,Present,Nay,Yea,Yea,Nay,Present,Nay,Present,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Present,Present,Yea,Yea,Nay,Yea,Present,Yea,Present,,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Present,Yea,Yea,Nay,Present,Yea,Nay,Present,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Present,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Present,Yea,Yea,Yea,Present,Yea,Present,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Present,Present,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Present,Present,Present,Nay,Nay,Nay,Nay,Present,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Nay,Present,Present,Present,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Present,Yea,Nay,,Present,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Present,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Present,Nay,Yea,Not Voting,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Nay,Yea,Yea,Present,Not Voting,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Present,,Present,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Present,Nay,Yea,,Present,Present,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,1964-01-21,0,,unknown,s2265,None,,An Act to amend the Library Services Act in order to increase the amount of assistance under such Act and to extend such assistance to nonrural areas,unknown
Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Present,Yea,,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Present,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Present,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Present,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Present,Yea,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Present,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Present,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Yea,Yea,Yea,Present,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Present,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Nay,Present,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Present,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Present,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,1964-01-28,0,,unknown,hr6041,None,House Education and Labor,"An Act to amend the prevailing wage section of the Davis-Bacon Act, as amended and related sections of the Federal Airport Act, as amended and the National Housing Act, as amended",unknown
