A000150,A000275,A000311,A000322,A000323,B000022,B000030,B000183,B000233,B000398,B000413,B000793,B000835,B001173,C000044,C000068,C000233,C000273,C000396,C000496,C000499,C000648,C000791,C000912,D000117,D000166,D000317,D000365,E000241,F000006,G000424,H000167,H000411,H000827,H000917,H000997,J000059,J000094,J000137,J000169,L000278,M000096,M000216,M000426,M000731,M000938,N000108,P000161,P000216,P000299,R000518,S000239,S000256,S000417,S000682,S000715,S001046,T000430,U000025,W000238,W000308,W000709,W000711,Y000061,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Nay,Yea,Yea,Yea,,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,,Nay,1846-04-20,0,,unknown,hjres4,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Yea,Nay,,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,,Yea,1846-04-20,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Nay,Nay,,Yea,Not Voting,,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,,Yea,1846-04-20,0,,unknown,,,,,unknown
Yea,Nay,Yea,Nay,Yea,,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,1846-04-21,0,,unknown,,,,,unknown
Yea,Nay,Yea,Yea,Yea,,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,,Nay,1846-04-21,0,,unknown,hjres4,,,,unknown
Nay,Nay,Nay,Nay,Nay,,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,,Nay,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,,Not Voting,1846-04-22,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Yea,,Yea,Yea,,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Yea,1846-04-23,0,,unknown,hjres4,,,,unknown
Yea,Nay,Yea,Yea,Yea,,Not Voting,Nay,,Yea,Nay,Yea,Yea,,Nay,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,,Nay,1846-04-27,0,,unknown,,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Yea,Yea,,Nay,Yea,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Nay,1846-04-28,0,,unknown,s38,,,,unknown
Yea,Yea,Yea,Yea,Yea,,Not Voting,Nay,,Yea,Nay,Yea,Yea,,Yea,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,1846-04-29,0,,unknown,s4,,,,unknown
Yea,Nay,Yea,Yea,Yea,,Not Voting,Nay,,Yea,Nay,Nay,Yea,,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,,Yea,1846-04-29,0,,unknown,s4,,,,unknown
Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,,Nay,Yea,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Nay,1846-04-29,0,,unknown,s4,,,,unknown
Yea,Yea,Yea,Yea,Nay,,Nay,Yea,,Not Voting,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Yea,1846-04-30,0,,unknown,s19,,,,unknown
Nay,Not Voting,Yea,Nay,Not Voting,,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,1846-05-04,0,,unknown,s131,,,,unknown
Nay,Not Voting,Nay,Nay,Yea,,Not Voting,Not Voting,,Not Voting,Not Voting,Nay,Nay,,Yea,Nay,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,,Nay,1846-05-05,0,,unknown,s28,,,,unknown
Yea,Nay,Yea,Nay,Yea,,Yea,Nay,,Not Voting,Nay,Nay,Yea,,Nay,Nay,Nay,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,,Nay,1846-05-06,0,,unknown,,,,,unknown
Yea,Nay,Yea,Yea,Yea,,Yea,Nay,,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,,Yea,1846-05-06,0,,unknown,s25,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,,Nay,1846-05-12,0,,unknown,hr145,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,1846-05-12,0,,unknown,hr145,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,,Nay,1846-05-12,0,,unknown,hr145,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,,Nay,1846-05-12,0,,unknown,hr145,,,,unknown
Yea,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,1846-05-12,0,,unknown,hr145,,,,unknown
Yea,Nay,Yea,Yea,Yea,,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,1846-05-14,0,,unknown,s25,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Yea,,Nay,Yea,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,1846-05-15,0,,unknown,s29,,,,unknown
Yea,Nay,Yea,Yea,Yea,,Nay,Nay,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,,Nay,1846-05-18,0,,unknown,s120,,,,unknown
Yea,Not Voting,Nay,Not Voting,Yea,,Not Voting,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Yea,Not Voting,Not Voting,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,1846-05-21,0,,unknown,s68,,,,unknown
Yea,Nay,Yea,Not Voting,Yea,,Yea,Nay,,Yea,Nay,Yea,Not Voting,,Nay,Nay,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,,Not Voting,1846-05-25,0,,unknown,,,,,unknown
Yea,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,1846-05-26,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Nay,,Nay,Yea,,Yea,Nay,Yea,Nay,,Nay,Not Voting,Not Voting,Yea,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,1846-05-26,0,,unknown,s88,,,,unknown
Yea,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,,Yea,1846-05-28,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,1846-05-29,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Yea,,Yea,Nay,,Not Voting,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,,Not Voting,1846-05-29,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Nay,Yea,,Yea,Nay,,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,1846-06-04,0,,unknown,sjres9,,,,unknown
Not Voting,Not Voting,Yea,Yea,Nay,,Nay,Yea,,Not Voting,Nay,Yea,Nay,,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Not Voting,1846-06-05,0,,unknown,s13,,,,unknown
Nay,Nay,Nay,Yea,Nay,,Nay,Nay,,Not Voting,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,1846-06-05,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Yea,Nay,,Nay,Yea,,Not Voting,Nay,Yea,Nay,,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Not Voting,1846-06-06,0,,unknown,s13,,,,unknown
Nay,Yea,Yea,Nay,Nay,,Yea,Yea,,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,,Nay,1846-06-06,0,,unknown,s68,,,,unknown
Yea,Yea,Yea,Nay,Yea,,Yea,Nay,,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Not Voting,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,,Yea,1846-06-08,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Nay,,Yea,Yea,,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,,Nay,1846-06-08,0,,unknown,s68,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,1846-06-09,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Nay,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,,Not Voting,1846-06-09,0,,unknown,,,,,unknown
Nay,Yea,Nay,Not Voting,Nay,,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Nay,Not Voting,Not Voting,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Nay,1846-06-09,0,,unknown,hr286,,,,unknown
Yea,Nay,Yea,Not Voting,Yea,,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,,Nay,1846-06-10,0,,unknown,,,,,unknown
Nay,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,,Nay,1846-06-10,0,,unknown,,,,,unknown
Yea,Nay,Nay,Not Voting,Yea,,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,,Nay,Not Voting,Yea,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,,Nay,1846-06-10,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Yea,Nay,,Nay,Not Voting,,Nay,Yea,Yea,Not Voting,,Nay,Yea,Not Voting,Nay,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,,Nay,1846-06-10,0,,unknown,s185,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,,Not Voting,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Nay,1846-06-11,0,,unknown,s185,,,,unknown
Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,,Nay,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,,Nay,1846-06-11,0,,unknown,s185,,,,unknown
