B000226,B000745,B000929,B001133,B001186,C000009,C000185,D000324,E000075,E000147,F000100,F000313,G000526,H000368,H000508,I000053,J000198,K000212,L000067,L000201,M000858,M000985,P000473,R000091,R000350,R000550,S000349,S000805,S001009,T000086,W000633,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Yea,,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,1792-03-06,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1792-03-06,0,,unknown,,,,,unknown
Nay,Yea,,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,Nay,Yea,,Yea,1792-03-06,0,,unknown,,,,,unknown
Yea,Nay,,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,1792-03-06,0,,unknown,,,,,unknown
Nay,Yea,,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,1792-03-06,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,1792-03-12,0,,unknown,,,,,unknown
Nay,Nay,,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,1792-03-12,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Nay,Nay,Nay,,Yea,1792-03-12,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,1792-02-12,0,,unknown,,,,,unknown
Yea,Nay,,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,1792-03-13,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,1792-03-22,0,,unknown,,,,,unknown
Nay,Nay,,Nay,Not Voting,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,1792-03-22,0,,unknown,,,,,unknown
Nay,Nay,,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,1792-03-26,0,,unknown,,,,,unknown
Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,1792-03-29,0,,unknown,,,,,unknown
