A000197,B000249,B000433,B000745,B000802,B000921,C000076,C000083,C000671,C000895,C001031,D000024,F000344,G000005,G000136,G000183,G000215,G000293,G000442,H000795,H000865,H000991,L000036,L000229,L000378,M000056,P000431,P000450,R000125,R000346,S000566,S000609,T000015,T000085,T000423,V000074,W000750,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Not Voting,Nay,Yea,Not Voting,,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1813-02-04,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1813-02-04,0,,unknown,,,,,unknown
Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1813-02-04,0,,unknown,,,,,unknown
Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1813-02-05,0,,unknown,,,,,unknown
Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1813-02-05,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,1813-02-11,0,,unknown,,,,,unknown
Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,1813-02-11,0,,unknown,,,,,unknown
Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,1813-02-11,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,1813-02-12,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,1813-02-12,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,1813-02-12,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,1813-02-13,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,1813-02-16,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,1813-02-16,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,1813-02-16,0,,unknown,,,,,unknown
Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,1813-02-17,0,,unknown,,,,,unknown
Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1813-02-17,0,,unknown,,,,,unknown
Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,1813-02-17,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1813-02-17,0,,unknown,,,,,unknown
Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1813-02-18,0,,unknown,,,,,unknown
Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1813-02-18,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,1813-02-18,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,1813-02-20,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,1813-02-20,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1813-02-20,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1813-02-20,0,,unknown,,,,,unknown
Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,1813-02-23,0,,unknown,,,,,unknown
Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,1813-02-23,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,1813-02-24,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,1813-02-25,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,1813-02-26,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,1813-02-26,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,1813-02-27,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,1813-02-27,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,1813-03-01,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,1813-03-01,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1813-03-01,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,1813-03-01,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1813-03-01,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1813-03-01,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,1813-03-01,0,,unknown,,,,,unknown
Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,1813-03-02,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,1813-03-02,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,1813-03-02,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,1813-03-03,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,1813-03-03,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,1813-03-03,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,1813-03-03,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,1813-03-03,0,,unknown,,,,,unknown
