A000197,B000249,B000433,B000745,B000802,B000921,C000076,C000083,C000671,C000895,C001031,D000024,F000344,G000005,G000136,G000183,G000215,G000293,G000442,H000795,H000865,H000991,L000036,L000229,L000378,M000056,P000431,P000450,R000125,R000346,S000566,S000609,T000015,T000085,T000423,V000074,W000750,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,1812-01-28,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Not Voting,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,Not Voting,,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,1812-02-05,0,,unknown,,,,,unknown
Yea,Nay,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1812-02-10,0,,unknown,,,,,unknown
Yea,Nay,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,1812-02-10,0,,unknown,,,,,unknown
Yea,Nay,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Yea,,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1812-02-12,0,,unknown,,,,,unknown
Yea,Nay,Not Voting,Yea,Not Voting,,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,,Not Voting,,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,1812-03-02,0,,unknown,,,,,unknown
Nay,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,1812-03-02,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,1812-03-06,0,,unknown,,,,,unknown
Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,1812-03-10,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,1812-03-16,0,,unknown,,,,,unknown
