A000197,B000127,B000192,B000433,B000434,B000554,B000802,B000921,B001051,C000083,C000325,C000671,C001031,D000002,D000024,F000389,G000005,G000136,G000183,G000215,G000264,G000322,H000795,H000865,H000991,K000141,K000212,L000011,L000036,L000229,M000217,M001003,R000313,R000346,S000609,S000955,T000015,T000017,T000085,T000220,T000423,V000074,W000053,W000287,W000324,W000750,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,,,Not Voting,Nay,Not Voting,Yea,,,Yea,Nay,,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,1814-12-17,0,,unknown,,,,,
Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,,,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,1814-12-19,0,,unknown,,,,,
Not Voting,Yea,,,Yea,Yea,Not Voting,Nay,,,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,1814-12-23,0,,unknown,,,,,
Not Voting,Nay,,,Nay,Nay,Not Voting,Not Voting,,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,1814-12-27,0,,unknown,,,,,
Not Voting,Nay,,,Yea,Yea,Not Voting,Not Voting,,,Yea,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,1814-12-28,0,,unknown,,,,,
Not Voting,Nay,,,Yea,Yea,Not Voting,Not Voting,,,Yea,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,1814-12-28,0,,unknown,,,,,
Not Voting,Nay,,,Nay,Nay,Not Voting,Nay,,,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,1814-12-28,0,,unknown,,,,,
Not Voting,Yea,,,Nay,Nay,Not Voting,Yea,,,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,1814-12-28,0,,unknown,,,,,
Not Voting,Yea,,,Nay,Nay,Not Voting,Not Voting,,,Yea,Nay,,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,1814-12-28,0,,unknown,,,,,
Yea,Yea,,,Yea,Yea,Not Voting,Yea,,,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,1814-12-29,0,,unknown,,,,,
Nay,Yea,,,Nay,Nay,Nay,Nay,,,Nay,Nay,,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,1814-12-29,0,,unknown,,,,,
Yea,Nay,,,Yea,Not Voting,Nay,Yea,,,Yea,Yea,,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,1815-01-02,0,,unknown,,,,,
Yea,Nay,,,Yea,Nay,Nay,Nay,,,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,1815-01-02,0,,unknown,,,,,
Not Voting,Nay,,,Nay,Yea,Nay,Not Voting,,,Not Voting,Not Voting,,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,1815-01-03,0,,unknown,,,,,
Yea,Yea,,,Nay,Nay,Nay,Nay,,,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,1815-01-04,0,,unknown,,,,,
