B000226,B001186,C000185,D000013,D000324,E000147,E000155,F000100,F000313,G000403,G000526,H000368,H000508,I000053,J000182,J000198,K000212,L000067,L000201,M000031,M000858,M000985,P000102,R000091,S000154,S000805,S001009,W000059,W000633,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,1790-05-21,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Yea,Yea,Yea,,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,1790-05-26,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,1790-05-26,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Yea,Yea,Yea,,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,1790-05-26,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,1790-05-27,0,,unknown,,,,,
Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,1790-06-08,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Nay,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,1790-06-08,0,,unknown,,,,,
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,1790-06-08,0,,unknown,,,,,
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,1790-06-08,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,1790-06-14,0,,unknown,,,,,
Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,,,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,1790-06-21,0,,unknown,,,,,
Nay,Yea,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,1790-06-25,0,,unknown,,,,,
Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-06-28,0,,unknown,,,,,
Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-28,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,1790-06-28,0,,unknown,,,,,
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-28,0,,unknown,,,,,
Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-28,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,1790-06-28,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,1790-06-28,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-06-28,0,,unknown,,,,,
Yea,Nay,Yea,Nay,,Yea,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-29,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-29,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-06-29,0,,unknown,,,,,
Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,1790-06-29,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-06-29,0,,unknown,,,,,
Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,1790-06-29,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,1790-06-30,0,,unknown,,,,,
Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,1790-06-30,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,1790-06-30,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-07-01,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,1790-07-01,0,,unknown,,,,,
Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-14,0,,unknown,,,,,
Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,1790-07-14,0,,unknown,,,,,
Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-14,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,1790-07-14,0,,unknown,,,,,
Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-16,0,,unknown,,,,,
Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,1790-07-19,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,,,,,
Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,,,,,
Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,1790-07-19,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,,,,,
Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,1790-07-20,0,,unknown,,,,,
Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-21,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-28,0,,unknown,,,,,
Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,1790-07-28,0,,unknown,,,,,
Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-28,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,1790-07-28,0,,unknown,,,,,
Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,1790-07-28,0,,unknown,,,,,
Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,1790-07-28,0,,unknown,,,,,
